x;y;object_id;reli;b14btot;count
6.746218;46.554075;98314;54691561;22;0
6.669454;46.541887;163858;54101548;36;1
6.736669;46.687156;98316;54631709;10;1
6.656794;46.515712;294942;54001519;33;1
6.818657;46.719116;327713;55261744;6;0
6.734682;46.538711;98317;54601544;23;0
6.733029;46.665543;98318;54601685;6;0
6.737614;46.715049;98319;54641740;32;1
6.339216;46.560765;262175;51571572;4;1
6.75589;46.614406;98320;54771628;10;0
6.752749;46.553215;98321;54741560;51;1
6.753656;46.790711;98322;54771824;3;0
6.601444;46.5558;262178;53581564;3;1
6.764224;46.783577;98324;54851816;4;1
6.761314;46.598245;98325;54811610;4;2
6.758184;46.639608;98326;54791656;54;0
6.449867;46.643647;294953;52431663;5;0
6.774197;46.505663;98328;54901507;3;0
6.702448;46.512418;163870;54351515;40;3
6.773015;46.601913;98329;54901614;46;0
7.006834;46.250406;163871;56671222;12;2
6.778489;46.474203;98330;54931472;3;1
6.110823;46.460263;18;49801463;3;0
6.771436;46.518242;98331;54881521;6;0
6.767493;46.626169;98333;54861641;3;1
6.788967;46.577716;98334;55021587;23;0
6.43125;46.591305;262189;52281605;7;0
6.27963;46.419827;163876;51091416;21;1
6.790434;46.564231;98335;55031572;3;0
6.789181;46.668576;98336;55031688;22;1
6.786629;46.555213;98337;55001562;3;0
7.048871;46.899145;294964;57031943;5;0
6.787544;46.587603;98338;55011598;9;0
6.93348;46.4696;262193;56121466;5;0
6.780695;46.721602;98339;54971747;3;0
6.455458;46.479963;262195;52451481;30;1
6.783139;46.62806;98340;54981643;10;1
6.246917;46.428485;294967;50841426;6;0
6.788149;46.53723;98341;55011542;3;0
6.805177;46.753226;98342;55161782;4;0
6.84868;46.485384;327740;55471484;21;0
6.67444;46.558113;229428;54141566;4;1
6.389595;46.720476;163886;51981749;3;0
6.812144;46.491485;98345;55191491;4;0
6.155647;46.381606;34;50131375;3;0
6.804571;46.470753;98348;55131468;3;0
6.804695;46.571508;98349;55141580;11;1
6.939036;46.431842;327746;56161424;10;2
6.736294;46.71594;262205;54631741;15;1
6.468076;46.502562;229434;52551506;4;1
6.81758;46.471724;98351;55231469;32;2
6.361163;46.703118;327749;51761730;4;0
6.719625;46.494536;327750;54481495;7;1
6.169341;46.296291;40;50221280;3;1
6.82411;46.469961;98354;55281467;20;3
6.174323;46.305343;41;50261290;20;1
6.899774;46.455052;229438;55861450;8;4
6.387523;46.49105;262210;51931494;22;0
6.173171;46.410593;42;50271407;17;0
6.993529;46.291735;229440;56571268;14;2
6.177365;46.398044;43;50301393;25;0
6.655335;46.526497;262212;53991531;20;1
6.181007;46.3531;45;50321343;12;0
6.449013;46.476308;327755;52401477;19;0
