X,Y,field_1,OBJECTID,RELI,B14BTOT,Count_,IPTA
6.746218,46.554075,1,98314,54691561,22,0,0
6.669454,46.541887,2,163858,54101548,36,1,0
6.736669,46.687156,3,98316,54631709,10,1,0
6.656794,46.515712,4,294942,54001519,33,1,0
6.818657,46.719116,5,327713,55261744,6,0,0
6.734682,46.538711,6,98317,54601544,23,0,0
6.733029,46.665543,7,98318,54601685,6,0,0
6.737614,46.715049,8,98319,54641740,32,1,0
6.339216,46.560765,9,262175,51571572,4,1,0
6.75589,46.614406,10,98320,54771628,10,0,0
6.752749,46.553215,11,98321,54741560,51,1,0
6.753656,46.790711,12,98322,54771824,3,0,0
6.601444,46.5558,13,262178,53581564,3,1,0
6.764224,46.783577,14,98324,54851816,4,1,0
6.761314,46.598245,15,98325,54811610,4,2,1
6.758184,46.639608,16,98326,54791656,54,0,0
6.449867,46.643647,17,294953,52431663,5,0,0
6.774197,46.505663,18,98328,54901507,3,0,0
6.702448,46.512418,19,163870,54351515,40,3,0
6.773015,46.601913,20,98329,54901614,46,0,0
7.006834,46.250406,21,163871,56671222,12,2,0
6.778489,46.474203,22,98330,54931472,3,1,0
6.110823,46.460263,23,18,49801463,3,0,0
6.771436,46.518242,24,98331,54881521,6,0,0
6.767493,46.626169,25,98333,54861641,3,1,0
6.788967,46.577716,26,98334,55021587,23,0,0
6.43125,46.591305,27,262189,52281605,7,0,0
6.27963,46.419827,28,163876,51091416,21,1,0
6.790434,46.564231,29,98335,55031572,3,0,0
6.789181,46.668576,30,98336,55031688,22,1,0
6.786629,46.555213,31,98337,55001562,3,0,0
7.048871,46.899145,32,294964,57031943,5,0,0
6.787544,46.587603,33,98338,55011598,9,0,0
6.93348,46.4696,34,262193,56121466,5,0,0
6.780695,46.721602,35,98339,54971747,3,0,0
6.455458,46.479963,36,262195,52451481,30,1,0
6.783139,46.62806,37,98340,54981643,10,1,0
6.246917,46.428485,38,294967,50841426,6,0,0
6.788149,46.53723,39,98341,55011542,3,0,0
6.805177,46.753226,40,98342,55161782,4,0,0
6.84868,46.485384,41,327740,55471484,21,0,0
6.67444,46.558113,42,229428,54141566,4,1,0
6.389595,46.720476,43,163886,51981749,3,0,0
6.812144,46.491485,44,98345,55191491,4,0,0
6.155647,46.381606,45,34,50131375,3,0,0
6.804571,46.470753,46,98348,55131468,3,0,0
6.804695,46.571508,47,98349,55141580,11,1,0
6.939036,46.431842,48,327746,56161424,10,2,0
6.736294,46.71594,49,262205,54631741,15,1,0
6.468076,46.502562,50,229434,52551506,4,1,0
6.81758,46.471724,51,98351,55231469,32,2,0
6.361163,46.703118,52,327749,51761730,4,0,0
6.719625,46.494536,53,327750,54481495,7,1,0
6.169341,46.296291,54,40,50221280,3,1,0
6.82411,46.469961,55,98354,55281467,20,3,0
6.174323,46.305343,56,41,50261290,20,1,0
6.899774,46.455052,57,229438,55861450,8,4,1
6.387523,46.49105,58,262210,51931494,22,0,0
6.173171,46.410593,59,42,50271407,17,0,0
6.993529,46.291735,60,229440,56571268,14,2,0
6.177365,46.398044,61,43,50301393,25,0,0
6.655335,46.526497,62,262212,53991531,20,1,0
6.181007,46.3531,63,45,50321343,12,0,0
6.449013,46.476308,64,327755,52401477,19,0,0
6.466644,46.509747,65,262214,52541514,9,0,0
6.623655,46.639625,66,196673,53761657,7,0,0
6.178227,46.416947,67,48,50311414,3,0,0
6.833204,46.471809,68,98362,55351469,27,6,0
6.538075,46.52383,69,327760,53091529,49,1,0
6.565919,46.575325,70,196676,53311586,14,1,0
6.838292,46.482631,71,98363,55391481,10,0,0
6.177987,46.315281,72,50,50291301,3,0,0
6.193543,46.316352,73,51,50411302,46,2,0
6.186887,46.323476,74,52,50361310,13,1,0
6.835841,46.703016,75,98365,55391726,85,0,0
6.184519,46.313554,76,229450,50341299,35,2,0
6.829911,46.765055,77,98366,55351795,3,1,0
6.834866,46.556379,78,98367,55371563,3,2,1
6.231448,46.480502,79,294993,50731484,12,0,0
6.185734,46.317166,80,56,50351303,7,2,0
6.674973,46.520333,81,294996,54141524,36,3,0
6.194575,46.384739,82,58,50431378,4,0,0
6.838957,46.540208,83,98371,55401545,3,1,0
6.195995,46.322677,84,59,50431309,5,0,0
6.196016,46.321777,85,61,50431308,6,0,0
6.843619,46.471864,86,98374,55431469,21,1,0
6.843718,46.462868,87,98375,55431459,26,4,0
6.201045,46.32903,88,64,50471316,5,0,0
6.847639,46.700379,89,98378,55481723,21,1,0
6.199904,46.436079,90,66,50481435,3,1,0
6.68422,46.511399,91,196692,54211514,57,3,0
6.852597,46.484505,92,98380,55501483,5,0,0
6.214235,46.435334,93,68,50591434,47,1,0
6.852888,46.457519,94,98381,55501453,115,8,0
6.848808,46.712979,95,98382,55491737,3,0,0
7.00553,46.251301,96,196695,56661223,83,2,0
6.216736,46.43986,97,70,50611439,17,1,0
6.717454,46.853458,98,295009,54501894,3,2,1
6.859406,46.456652,99,98383,55551452,59,3,0
6.696719,46.550164,100,262239,54311557,8,0,0
6.800931,46.558892,101,163926,55111566,3,0,0
6.213057,46.60266,102,71,50611620,3,0,0
6.624401,46.590152,103,196697,53761602,26,1,0
7.210725,46.486687,104,295011,58251484,3,2,1
6.218873,46.460575,105,72,50631462,3,1,0
6.864613,46.456679,106,98386,55591452,124,1,0
6.22191,46.383236,107,196699,50641376,8,2,0
7.042422,46.883831,108,229471,56981926,203,2,0
6.869413,46.495385,109,98388,55631495,24,1,0
6.871102,46.458511,110,98389,55641454,37,3,0
6.216752,46.381381,111,76,50601374,40,2,0
6.692042,46.889278,112,163931,54311934,3,0,0
6.215556,46.434449,113,77,50601433,7,1,0
7.135194,46.485611,114,327788,57671483,5,0,0
6.866998,46.477381,115,98392,55611475,15,0,0
6.236132,46.445465,116,79,50761445,5,0,0
6.462502,46.811984,117,327790,52551850,8,0,0
6.229708,46.38332,118,80,50701376,67,2,0
6.23823,46.4095,119,81,50771405,11,0,0
6.876336,46.455838,120,98394,55681451,6,0,0
6.878738,46.727523,121,98395,55721753,23,0,0
6.243946,46.386169,122,83,50811379,15,0,0
6.236307,46.613704,123,295024,50791632,15,1,0
6.235042,46.611891,124,85,50781630,9,2,0
6.883813,46.74284,125,98398,55761770,26,0,0
6.881066,46.755421,126,98399,55741784,4,0,0
6.753439,46.601797,127,295025,54751614,3,1,0
6.238058,46.476074,128,86,50781479,17,1,0
6.266211,46.619414,129,87,51021638,8,1,0
6.957645,46.827734,130,229484,56331864,12,1,0
6.880232,46.709539,131,98401,55731733,3,0,0
6.77168,46.498452,132,229485,54881499,28,1,0
6.307549,46.453396,133,88,51311453,7,0,0
6.333449,46.459949,134,89,51511460,37,2,0
6.312843,46.511926,135,90,51361518,6,0,0
6.315097,46.466066,136,91,51371467,88,1,0
6.291419,46.477525,137,92,51191480,3,0,0
6.316095,46.669397,138,93,51411693,4,0,0
6.893076,46.473911,139,98406,55811471,14,2,0
6.505558,46.519969,140,229490,52841525,4,3,1
6.337245,46.465383,141,94,51541466,16,1,0
6.877517,46.467538,142,262262,55691464,16,3,0
6.349864,46.485297,143,95,51641488,3,0,0
6.374131,46.708638,144,96,51861736,4,1,0
6.605757,46.529743,145,295035,53611535,41,1,0
6.894459,46.465822,146,98409,55821462,47,9,0
6.354965,46.490744,147,97,51681494,6,0,0
6.893275,46.454121,148,98410,55811449,18,2,0
6.701658,46.857855,149,163953,54381899,4,0,0
6.35748,46.495266,150,98,51701499,5,0,0
6.375012,46.464844,151,99,51831465,3,0,0
6.341751,46.564388,152,100,51591576,3,0,0
6.187032,46.31718,153,196726,50361303,4,2,1
6.384954,46.489227,154,101,51911492,7,0,0
6.899259,46.375886,155,98414,55851362,10,0,0
6.945345,46.45346,156,229498,56211448,3,1,0
6.391361,46.494684,157,102,51961498,127,1,0
6.874979,46.461229,158,163957,55671457,3,1,0
6.901066,46.455958,159,98415,55871451,24,3,0
6.748783,46.864446,160,327813,54741906,9,1,0
6.925429,46.770022,161,262271,56081800,22,1,0
6.626907,46.510105,162,229500,53771513,30,4,0
6.401643,46.501975,163,103,52041506,19,0,0
6.386962,46.721352,164,104,51961750,35,0,0
6.405225,46.519101,165,105,52071525,3,0,0
6.381012,46.490989,166,106,51881494,6,1,0
6.976674,46.289869,167,163961,56441266,5,0,0
6.388791,46.492861,168,107,51941496,28,1,0
6.408572,46.617192,169,108,52111634,26,1,0
6.904909,46.462273,170,98421,55901458,5,1,0
6.789203,46.666776,171,196734,55031686,8,0,0
6.398236,46.475855,172,109,52011477,5,2,0
6.913874,46.746581,173,98423,55991774,9,0,0
6.433106,46.561634,174,110,52291572,3,1,0
6.447234,46.502382,175,111,52391506,4,0,0
6.432788,46.508553,176,112,52281513,3,0,0
6.474701,46.496321,177,113,52601499,29,0,0
7.034584,46.879305,178,229510,56921921,34,0,0
6.917823,46.473128,179,98427,56001470,3,1,0
6.460553,46.486304,180,115,52491488,61,2,0
6.908631,46.747456,181,98428,55951775,3,0,0
6.45378,46.50064,182,116,52441504,8,0,0
6.462606,46.516909,183,117,52511522,4,0,0
6.885365,46.463978,184,327827,55751460,9,1,0
6.925099,46.392199,185,98430,56051380,52,0,0
6.232209,46.446323,186,196744,50731446,3,1,0
6.486202,46.509013,187,118,52691513,47,4,0
6.4876,46.503627,188,119,52701507,142,3,0
6.490149,46.655684,189,120,52741676,3,0,0
6.925737,46.737639,190,98434,56081764,5,1,0
6.575349,46.638369,191,229518,53391656,8,1,0
6.493956,46.512676,192,121,52751517,11,2,0
6.501891,46.656681,193,122,52831677,3,0,0
6.496407,46.821265,194,123,52811860,32,1,0
6.500385,46.818599,195,124,52841857,26,2,0
6.928603,46.434495,196,98437,56081427,10,4,0
6.493724,46.824841,197,125,52791864,13,0,0
6.607047,46.530652,198,295064,53621536,144,3,0
6.930594,46.360738,199,98438,56091345,31,3,0
6.498606,46.545101,200,126,52791553,7,0,0
6.522453,46.522805,201,127,52971528,3,2,1
6.204045,46.597165,202,327837,50541614,10,0,0
6.522482,46.752207,203,128,53001783,52,0,0
6.525589,46.568711,204,129,53001579,5,0,0
6.929786,46.447094,205,98442,56091441,5,1,0
6.520844,46.694619,206,130,52981719,12,2,0
7.192492,46.486649,207,163986,58111484,3,0,0
6.511257,46.567695,208,131,52891578,5,1,0
6.527531,46.60831,209,132,53021623,9,1,0
6.935533,46.388647,210,98446,56131376,5,1,0
6.530767,46.648818,211,133,53051668,16,1,0
6.504441,46.584732,212,262302,52841597,16,0,0
6.533379,46.648839,213,134,53071668,6,0,0
6.537926,46.532825,214,135,53091539,23,1,0
7.163233,46.349847,215,327846,57881332,3,1,0
6.539199,46.534634,216,136,53101541,54,1,0
6.203039,46.412721,217,163992,50501409,8,1,0
6.553488,46.617511,218,138,53221633,9,0,0
6.604385,46.618794,219,163994,53611634,6,0,0
6.555865,46.551857,220,139,53231560,64,0,0
6.560258,46.522204,221,140,53261527,16,2,0
6.911185,46.887799,222,196767,55981931,6,1,0
6.575681,46.535816,223,141,53381542,265,4,0
6.798403,46.662331,224,295080,55101681,3,0,0
6.571626,46.707611,225,142,53371733,30,1,0
6.568039,46.767857,226,143,53351800,3,1,0
6.565436,46.766937,227,144,53331799,46,1,0
6.571914,46.526791,228,145,53351532,3,1,0
6.594586,46.828329,229,229542,53561867,25,1,0
6.94739,46.802502,230,98459,56251836,5,0,0
6.583762,46.767076,231,146,53471799,3,1,0
6.66145,46.917861,232,262315,54081966,3,0,0
6.579534,46.539444,233,149,53411546,170,4,0
6.177114,46.408837,234,327859,50301405,28,2,0
6.315116,46.465167,235,327860,51371466,3,1,0
6.839953,46.5681,236,164005,55411576,15,1,0
6.577904,46.641987,237,150,53411660,18,1,0
6.575206,46.647364,238,151,53391666,9,0,0
6.582153,46.785956,239,152,53461820,16,1,0
6.520906,46.691021,240,196778,52981715,18,0,0
6.596774,46.520681,241,153,53541525,19,1,0
6.967303,46.323114,242,98466,56371303,14,0,0
6.566279,46.795731,243,196780,53341831,3,0,0
6.598696,46.564776,244,154,53561574,21,1,0
6.590646,46.57911,245,155,53501590,3,1,0
6.992209,46.294429,246,295096,56561271,20,2,0
6.596541,46.703299,247,157,53561728,4,1,0
6.744545,46.582851,248,229554,54681593,6,0,0
6.605096,46.742045,249,158,53631771,28,1,0
7.088479,46.257885,250,229555,57301230,4,0,0
6.601597,46.545906,251,159,53581553,8,2,0
7.138506,46.357881,252,229556,57691341,3,1,0
6.508237,46.667528,253,164014,52881689,17,0,0
6.976485,46.923163,254,98473,56481970,6,0,0
6.604094,46.637684,255,160,53611655,7,0,0
6.603427,46.68086,256,161,53611703,38,1,0
6.609681,46.528872,257,162,53641534,89,1,0
7.038132,46.931491,258,327872,56951979,23,1,0
6.415031,46.620849,259,229559,52161638,80,3,0
6.615154,46.511819,260,163,53681515,15,1,0
6.981706,46.926782,261,98477,56521974,21,1,0
6.611039,46.525284,262,164,53651530,296,5,0
6.612219,46.533389,263,165,53661539,125,5,0
6.988293,46.297112,264,98478,56531274,28,1,0
6.626543,46.534391,265,166,53771540,324,1,0
6.254738,46.6067,266,229563,50931624,4,0,0
6.622884,46.777258,267,167,53771810,12,0,0
6.983012,46.927687,268,98481,56531975,8,1,0
6.628866,46.640561,269,168,53801658,53,2,0
6.691926,46.519546,270,229565,54271523,20,1,0
6.62884,46.555099,271,169,53791563,26,0,0
6.990918,46.293524,272,98482,56551270,14,2,0
6.628382,46.585682,273,327879,53791597,17,0,0
6.628921,46.549702,274,170,53791557,105,1,0
6.63592,46.517366,275,171,53841521,92,7,0
6.919426,46.44165,276,196797,56011435,8,1,0
6.63568,46.533557,277,172,53841539,106,2,0
7.002893,46.256688,278,98485,56641229,3,1,0
6.635106,46.572236,279,173,53841582,3,1,0
6.670237,46.762293,280,196799,54131793,3,0,0
6.996197,46.28275,281,98486,56591258,36,1,0
6.991039,46.909728,282,98487,56591955,4,0,0
6.63435,46.535347,283,174,53831541,198,1,0
6.675361,46.677766,284,327884,54161699,11,0,0
6.637393,46.770164,285,175,53881802,244,1,0
6.447761,46.473599,286,229573,52391474,3,0,0
6.653194,46.853935,287,295115,54011895,7,1,0
6.636256,46.846621,288,176,53881887,5,1,0
6.64641,46.512941,289,177,53921516,96,1,0
6.42609,46.518389,290,164032,52231524,12,1,0
