X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
6.205861,46.438492,6.2058610000,46.4384920000,8501056,Sus-Châtel,CheminFer,802,5718,Genolier,91,322,537,1446
6.541792,46.53075,6.5417920000,46.5307500000,8515322,Denges A (bif),CheminFer,397,5632,Denges,56,263,1124,3058
6.685081,46.674322,6.6850810000,46.6743220000,8501176,Fey,CheminFer,647,5522,Fey,53,204,510,614
7.147123,46.354926,7.1471230000,46.3549260000,8593774,La Faverge,CheminFer,1147,5411,Ormont-Dessus,3,37,189,581
6.605526,46.57868,6.6055260000,46.5786800000,8501170,Bel-Air LEB,CheminFer,605,5586,Lausanne,8,49,1049,3628
6.531975,46.800277,6.5319750000,46.8002770000,8504297,Trois-Villes,CheminFer,906,5745,Baulmes,3,3,3,9
6.414217,46.5928,6.4142170000,46.5928000000,8501088,Tuilerie,CheminFer,670,5494,Pampigny,,3,6,13
6.572081,46.540791,6.5720810000,46.5407910000,8515355,Renens VD Ouest (bif),CheminFer,414,5635,Ecublens (VD),216,1035,4842,16943
6.423578,46.55088,6.4235780000,46.5508800000,8501094,Apples,CheminFer,642,5421,Apples,20,168,552,1062
6.626058,46.523233,6.6260580000,46.5232330000,8501160,Lausanne-Chauderon,CheminFer,471,5586,Lausanne,484,3258,10413,37144
6.901533,46.473277,6.9015330000,46.4732770000,8530261,Bois-de-Chexbres,CheminFer,800,5881,Blonay,13,57,383,2394
6.882131,46.469513,6.8821310000,46.4695130000,8501265,La Chiésaz,CheminFer,577,5888,Saint-Légier-La Chiésaz,126,591,1615,5289
6.541483,46.720971,6.5414830000,46.7209710000,8501194,Les Granges (Orbe),Bus_CheminFer,445,5757,Orbe,,76,207,3160
7.14208,46.476723,7.1420800000,46.4767230000,8501198,La Palaz,CheminFer,980,5841,Château-d'Oex,68,294,691,1434
6.66232,46.782147,6.6623200000,46.7821470000,8504144,Yverdon-Champ Pittet,CheminFer,435,5938,Yverdon-les-Bains,,93,314,2913
6.587075,46.533257,6.5870750000,46.5332570000,8515354,Renens VD Est (bif),CheminFer,417,5591,Renens (VD),,1005,5334,23918
6.215434,46.454303,6.2154340000,46.4543030000,8501065,Le Muids,CheminFer,715,5702,Arzier-Le Muids,4,117,621,1954
6.657982,46.514676,6.6579820000,46.5146760000,8504000,Pully-Nord,CheminFer,473,5590,Pully,262,1475,4999,19023
6.611028,46.524276,6.6110280000,46.5242760000,8501128,Lausanne-Sébeillon,CheminFer,447,5586,Lausanne,,2331,8301,31868
6.901144,46.446782,6.9011440000,46.4467820000,8501382,Châtelard VD,CheminFer,502,5886,Montreux,3,79,1299,9945
6.994399,46.286899,6.9943990000,46.2868990000,8501458,Villy,CheminFer,407,5409,Ollon,8,94,462,1533
7.056228,46.296255,7.0562280000,46.2962550000,8501495,Villars-sur-Ollon,CheminFer,1253,5409,Ollon,17,290,1115,1763
6.393047,46.596332,6.3930470000,46.5963320000,8501098,Montricher,CheminFer,676,5492,Montricher,,7,7,24
6.530758,46.576246,6.5307580000,46.5762460000,8501116,Vufflens-la-Ville,CheminFer,406,5503,Vufflens-la-Ville,,60,432,1221
6.517364,46.658786,6.5173640000,46.6587860000,8501108,La Sarraz,Bus_CheminFer,485,5498,La Sarraz,58,433,1061,2738
6.910966,46.439119,6.9109660000,46.4391190000,8501381,Vuarennes,CheminFer,442,5886,Montreux,383,1210,3183,9050
6.860892,46.466259,6.8608920000,46.4662590000,8501262,Hauteville,CheminFer,501,5888,Saint-Légier-La Chiésaz,52,408,1099,8283
6.553469,46.53569,6.5534690000,46.5356900000,8515639,Lausanne-Triage Est,CheminFer,400,5635,Ecublens (VD),,11,48,5061
6.703648,46.692885,6.7036480000,46.6928850000,8501177,Bercher,CheminFer,627,5512,Bercher,88,230,608,1408
6.975368,46.31829,6.9753680000,46.3182900000,8501484,Aigle-Dépét,CheminFer,430,5401,Aigle,3,173,660,3341
7.096898,46.466116,7.0968980000,46.4661160000,8501393,La Chaudanne-Les Moulins,CheminFer,886,5842,Rossinière,,6,6,352
6.97034,46.317244,6.9703400000,46.3172440000,8501554,Aigle-Place-du-Marché,CheminFer,417,5401,Aigle,87,816,2391,5428
7.070491,46.282746,7.0704910000,46.2827460000,8501493,La Barboleuse,CheminFer,1210,5405,Gryon,31,97,252,667
6.111444,46.454602,6.1114440000,46.4546020000,8501061,La Givrine,CheminFer,1208,5727,Saint-Cergue,,,19,71
7.068001,46.288342,7.0680010000,46.2883420000,8501727,La Clairière,CheminFer,1220,5409,Ollon,,13,126,715
6.235963,46.384421,6.2359630000,46.3844210000,8501030,Nyon,CheminFer,406,5724,Nyon,63,1800,5097,13971
6.07357,46.465147,6.0735700000,46.4651470000,8501060,La Cure,CheminFer,1155,5727,Saint-Cergue,3,33,116,167
6.53011,46.724398,6.5301100000,46.7243980000,8501191,Orbe,Bus_CheminFer,473,5757,Orbe,195,972,2659,6056
6.921208,46.439049,6.9212080000,46.4390490000,8501384,Sonzier,CheminFer,664,5886,Montreux,29,195,323,5609
6.574465,46.540107,6.5744650000,46.5401070000,8501129,Renens VD Larges Piéces (embr),CheminFer,418,5591,Renens (VD),176,1469,7310,19735
6.527406,46.523502,6.5274060000,46.5235020000,8517214,Lausanne-Triage SALT,CheminFer,394,5586,Lausanne,,19,376,5424
6.351967,46.528528,6.3519670000,46.5285280000,8501192,Bière-Casernes,CheminFer,674,5425,Bière,,,22,101
6.524333,46.788926,6.5243330000,46.7889260000,8504295,Baulmes,CheminFer,631,5745,Baulmes,49,430,829,998
6.797024,46.472591,6.7970240000,46.4725910000,8501127,St-Saphorin,Bus_CheminFer,376,5610,Saint-Saphorin (Lavaux),39,198,254,571
6.613178,46.530337,6.6131780000,46.5303370000,8501161,Montétan,CheminFer,502,5586,Lausanne,554,2197,10342,34697
6.217254,46.398921,6.2172540000,46.3989210000,8501053,La Vuarpillière,CheminFer,463,5724,Nyon,3,15,57,354
6.214566,46.436247,6.2145660000,46.4362470000,8501066,Genolier,CheminFer,562,5718,Genolier,42,271,957,1688
7.083237,46.464815,7.0832370000,46.4648150000,8501392,Rossinière,CheminFer,891,5842,Rossinière,23,134,338,440
7.000753,46.335762,7.0007530000,46.3357620000,8501480,Rennaz (Leysin),CheminFer,918,5407,Leysin,4,9,239,1489
6.283446,46.646921,6.2834460000,46.6469210000,8501153,Le Lieu,CheminFer,1050,5873,Le Lieu,36,161,395,404
6.462586,46.527471,6.4625860000,46.5274710000,8501080,Le Marais,CheminFer,495,5653,Vufflens-le-Château,41,145,426,963
7.208959,46.488617,7.2089590000,46.4886170000,8501397,Rougemont,CheminFer,992,5843,Rougemont,77,233,436,659
6.265684,46.41685,6.2656840000,46.4168500000,8519355,Gland Ouest,CheminFer,416,5721,Gland,,552,2257,9898
6.632539,46.639508,6.6325390000,46.6395080000,8501173,Echallens,CheminFer,617,5518,Echallens,33,1153,3229,5298
6.932752,46.436043,6.9327520000,46.4360430000,8501363,Le Tremblex,CheminFerCremaillere,817,5886,Montreux,3,15,196,2512
6.544347,46.53077,6.5443470000,46.5307700000,8515323,Denges B (bif),CheminFer,395,5632,Denges,13,131,772,2948
6.582617,46.534951,6.5826170000,46.5349510000,8501140,Renens VD CT,CheminFer,418,5591,Renens (VD),,1362,9335,23952
6.912398,46.453825,6.9123980000,46.4538250000,8501306,Chamby-Musée,CheminFer,725,5886,Montreux,,12,287,2154
6.582684,46.534835,6.5826840000,46.5348350000,8501119,Renens VD Entrepéts,CheminFer,411,5591,Renens (VD),,1135,9338,23969
6.605007,46.544581,6.6050070000,46.5445810000,8501164,Cery-Fleur-de-Lys,CheminFer,543,5589,Prilly,60,104,483,7175
7.15518,46.474148,7.1551800000,46.4741480000,8501395,Château-d'Oex-Les Granges,CheminFer,1003,5841,Château-d'Oex,55,151,200,533
6.97679,46.44134,6.9767900000,46.4413400000,8501367,Jaman,CheminFerCremaillere,1742,5886,Montreux,,,,
6.943324,46.453811,6.9433240000,46.4538110000,8501377,Les Avants,CheminFer,970,5886,Montreux,61,168,275,367
7.02322,46.252618,7.0232200000,46.2526180000,8530066,Grand-Moulin,CheminFer,439,5402,Bex,79,263,697,2677
6.638925,46.640453,6.6389250000,46.6404530000,8501174,Sur Roche,CheminFer,625,5518,Echallens,146,714,2482,5205
6.260662,46.418669,6.2606620000,46.4186690000,8519356,Gland Ballastière,CheminFer,420,5721,Gland,32,509,2035,8373
6.922695,46.426381,6.9226950000,46.4263810000,8501301,Territet,Bus_CheminFer,386,5886,Montreux,13,400,1428,5827
6.60169,46.548335,6.6016900000,46.5483350000,8501165,Jouxtens-Mézery,CheminFer,555,5585,Jouxtens-Mézery,27,75,310,3053
6.898124,46.475591,6.8981240000,46.4755910000,8501284,Les Chevalleyres,CheminFer,773,5881,Blonay,57,266,775,2305
7.155016,46.351159,7.1550160000,46.3511590000,8501479,Les Diablerets,CheminFer,1155,5411,Ormont-Dessus,49,188,673,1042
6.913497,46.449179,6.9134970000,46.4491790000,8501376,Chamby,CheminFer,736,5886,Montreux,21,69,474,2663
6.944888,46.432183,6.9448880000,46.4321830000,8501364,Les Echets,CheminFerCremaillere,1100,5886,Montreux,6,28,110,1093
6.430971,46.540429,6.4309710000,46.5404290000,8501083,Reverolle,CheminFer,602,5421,Apples,,11,198,477
6.896253,46.473854,6.8962530000,46.4738540000,8501283,Tusinge,CheminFer,727,5881,Blonay,22,241,1080,3262
7.045455,46.343131,7.0454550000,46.3431310000,8501469,Les Fontanelles,CheminFer,899,5410,Ormont-Dessous,,3,28,78
6.423301,46.551057,6.4233010000,46.5510570000,8519322,Apples nord,CheminFer,642,5421,Apples,23,144,552,1062
6.204011,46.381405,6.2040110000,46.3814050000,8516946,Eysins (embr),CheminFer,435,5716,Eysins,45,550,1342,2672
7.004415,46.337449,7.0044150000,46.3374490000,8501199,La Roulaz,CheminFer,1020,5407,Leysin,38,113,996,3156
6.746689,46.80087,6.7466890000,46.8008700000,8504130,Yvonand,CheminFer,434,5939,Yvonand,21,240,1131,2740
6.929296,46.428552,6.9292960000,46.4285520000,8501362,Valmont,CheminFerCremaillere,637,5886,Montreux,,18,385,4795
7.113161,46.352971,7.1131610000,46.3529710000,8501476,Les Aviolats,CheminFer,1091,5411,Ormont-Dessus,12,39,86,162
6.370565,46.71241,6.3705650000,46.7124100000,8501103,Vallorbe,Bus_CheminFer,807,5764,Vallorbe,45,427,1198,2556
6.260517,46.63204,6.2605170000,46.6320400000,8501154,Les Esserts-de-Rive,CheminFer,1040,5873,Le Lieu,,24,54,66
6.370565,46.71241,6.3705650000,46.7124100000,8501102,Vallorbe-Frontière,CheminFer,807,5764,Vallorbe,45,427,1198,2556
6.983658,46.308176,6.9836580000,46.3081760000,8501470,Verchiez,CheminFer,565,5409,Ollon,,,26,162
7.000872,46.327396,7.0008720000,46.3273960000,8501179,Pont-de-Drapel,CheminFer,616,5401,Aigle,,,10,76
6.836114,46.467632,6.8361140000,46.4676320000,8515369,Vevey Ouest (bif),CheminFer,186,5890,Vevey,238,1480,5591,14353
6.55361,46.803838,6.5536100000,46.8038380000,8504294,Vuiteboeuf,CheminFer,589,5766,Vuiteboeuf,3,11,129,533
6.556022,46.53903,6.5560220000,46.5390300000,8501142,Lausanne-Triage Nord,CheminFer,400,5635,Ecublens (VD),,,70,4743
7.061099,46.293762,7.0610990000,46.2937620000,8501447,Roches Grises,CheminFer,1302,5409,Ollon,52,214,522,1445
7.030875,46.258988,7.0308750000,46.2589880000,8501488,Bévieux,CheminFer,483,5402,Bex,13,56,80,348
6.604797,46.570938,6.6047970000,46.5709380000,8501168,Vernand-Camarés,CheminFer,598,5586,Lausanne,5,26,136,2633
6.620056,46.794492,6.6200560000,46.7944920000,8504291,La Brinaz,CheminFer,441,5922,Montagny-près-Yverdon,6,151,637,2620
6.400514,46.717293,6.4005140000,46.7172930000,8501104,Le Day,Bus_CheminFer,787,5764,Vallorbe,,39,107,226
6.690605,46.503786,6.6906050000,46.5037860000,8501122,Lutry,Bus_CheminFer,402,5606,Lutry,150,605,2030,5333
6.96409,46.316345,6.9640900000,46.3163450000,8519338,Aigle [voie 11-16],CheminFer,404,5401,Aigle,116,627,3543,9082
6.351791,46.541832,6.3517910000,46.5418320000,8519320,Bière-Jonction,CheminFer,697,5425,Bière,,,,
7.129202,46.353574,7.1292020000,46.3535740000,8593776,Plan Morier,CheminFer,1108,5411,Ormont-Dessus,,30,101,189
6.912713,46.436104,6.9127130000,46.4361040000,8501380,Montreux-collège,CheminFer,426,5886,Montreux,153,894,5075,9978
6.684656,46.831144,6.6846560000,46.8311440000,8504246,Onnens-Bonvillars PMP,CheminFer,439,2234,La Brillaz,,,32,451
6.539297,46.527159,6.5392970000,46.5271590000,8501049,Lausanne-Triage,CheminFer,395,5632,Denges,77,197,952,2562
6.844277,46.462916,6.8442770000,46.4629160000,8519324,Vevey [voie 6-7],CheminFer,386,5890,Vevey,26,1136,8050,20208
6.852634,46.471416,6.8526340000,46.4714160000,8501260,Gilamont,CheminFer,436,5890,Vevey,131,1161,2538,8052
6.815481,46.570533,6.8154810000,46.5705330000,8504017,Châtillens,CheminFer,602,5805,Oron,39,228,483,1782
6.924324,46.432856,6.9243240000,46.4328560000,8501230,Glion-Alpes,CheminFerCremaillere,694,5886,Montreux,106,343,1295,6306
