X,Y,Numero,Nom,MoyenTrans,Altitude,NumeroComm,NomCommune
6.249597,46.395261,8588677,"Prangins, Mus�e national",Bus,410,5725,Prangins
6.685444,46.52267,8593790,"Belmont-s.-L., Champ-Chamot",Bus,691,5581,Belmont-sur-Lausanne
6.419958,46.475755,8594454,"Etoy, Noyer-Girod",Bus,412,5636,Etoy
7.089747,46.385727,8573653,"La Comballaz, L'Ortier",Bus,1382,5410,Ormont-Dessous
7.083624,46.379924,8501758,"La Comballaz, poste",Bus,1354,5410,Ormont-Dessous
6.607183,46.839324,8580463,"Grandevent, village",Bus,679,5560,Grandevent
6.890384,46.509585,8579187,"Monts-de-Corsier, Mur-Blanc",Bus,806,5884,Corsier-sur-Vevey
6.48878,46.82794,8579071,"L'Auberson, Vers-le-Bois",Bus,1114,5568,Sainte-Croix
6.456221,46.817967,8587594,"L'Auberson, Vers-chz-ls-Jaques",Bus,1106,5568,Sainte-Croix
6.391887,46.690675,8570231,"Vaulion, Sur la Creusaz",Bus,928,5765,Vaulion
6.337163,46.65779,8570160,"L'Abbaye, Cr�t-Blanc",Bus,1075,5871,L'Abbaye
6.472254,46.615276,8570134,"La Chaux (Cossonay), village",Bus,554,5474,La Chaux (Cossonay)
6.565398,46.818574,8570260,"La Mothe, haut-du-village",Bus,548,5937,Vugelles-La Mothe
7.059724,46.349531,8570636,"La Forclaz VD, Vougny-Paluex",Bus,1205,5410,Ormont-Dessous
6.404217,46.636701,8570157,"La Coudre (L'Isle),bas village",Bus,807,5486,L'Isle
7.147123,46.354926,8593774,La Faverge,CheminFer,1147,5411,Ormont-Dessus
6.863062,46.454413,8593952,"La Tour-de-Peilz, Bel-Air",Bus,402,5889,La Tour-de-Peilz
6.712979,46.695104,8580578,"Bercher, Vers l'Eglise",Bus,636,5512,Bercher
6.317521,46.493026,8501860,"Essertines-sur-Rolle, village",Bus,726,5856,Essertines-sur-Rolle
6.583707,46.792831,8570334,"Essert-sous-Champvent, village",Bus,482,5905,Champvent
7.050105,46.348527,8570633,"La Forclaz VD, La Trappaz",Bus,1047,5410,Ormont-Dessous
6.719557,46.781415,8507687,"La Mauguettaz, crois�e",Bus,454,5939,Yvonand
6.866725,46.453838,8593960,"La Tour-de-Peilz, G�r�naz",Bus,413,5889,La Tour-de-Peilz
7.067418,46.350923,8501766,"La Forclaz VD, village",Bus,1260,5410,Ormont-Dessous
6.541744,46.525829,8588872,"Denges, Les Oches",Bus,396,5632,Denges
6.412837,46.474998,8577590,"Etoy, En Bellevue",Bus,411,5636,Etoy
6.423253,46.48272,8583358,"Etoy, coll�ge Les Communaux",Bus,433,5636,Etoy
6.856393,46.453578,8593956,"La Tour-de-Peilz, centre",Bus,383,5889,La Tour-de-Peilz
6.671593,46.655026,8583231,"Sugnens, village",Bus,674,5540,Montilliez
7.182928,46.349687,8571278,"Les Diablerets, Les Preises",Bus,1385,5411,Ormont-Dessus
6.251721,46.622817,8530622,Le Rocheray NLJ,Bateau,1004,5872,Le Chenit
6.740347,46.734289,8507954,"Prahins, village",Bus,693,5913,Donneloye
6.373351,46.5991,8570112,"Montricher, Champet",Bus,735,5492,Montricher
6.738413,46.736104,8570316,"Prahins, Les Ivuez",Bus,682,5913,Donneloye
6.928839,46.871831,8504986,"Grandcour, poste",Bus,481,5817,Grandcour
7.14254,46.461657,8501372,Pra-Perron,Telepherique,1216,2163,Val-de-Charmey
7.061754,46.32658,8530045,Chamossaire VD,Telepherique,2101,5409,Ollon
7.079873,46.329869,8530052,Lac-Noir TLNCP,Telepherique,1712,5409,Ollon
6.891984,46.453036,8579204,"Chailly-Montreux, village",Bus,477,5886,Montreux
6.924701,46.39862,8501314,Villeneuve CGN,Bateau,373,5414,Villeneuve (VD)
6.179085,46.32895,8595172,"Coppet, Les Marais",Bus,425,5712,Coppet
6.96047,46.34858,8501759,"Corbeyrier, poste",Bus,911,5404,Corbeyrier
6.719151,46.854953,8570280,"Concise, Bas-du-Pav�",Bus,468,5554,Concise
6.479615,46.54989,8570102,"Colombier VD, En Plan",Bus,510,5634,Echichens
6.517728,46.517819,8592279,"Pr�verenges, Taudaz",Bus,384,5643,Pr�verenges
6.788887,46.651797,8579243,"Bressonnaz, village",Bus,534,5678,Moudon
6.715521,46.666414,8507663,"Chapelle-sur-Moudon, La Combe",Bus,726,5693,Montanaire
6.568446,46.520378,8579234,"Ecublens VD, EPFL Piccard",Bus,395,5635,Ecublens (VD)
6.756469,46.747539,8507672,"D�moret, coll�ge",Bus,732,5912,D�moret
6.717715,46.508819,8582778,"Grandvaux, Cr�t-Mouton",Bus,708,5613,Bourg-en-Lavaux
6.641498,46.808659,8570254,"Grandson, Cr�t-aux-Moines",Bus,457,5561,Grandson
7.017534,46.270192,8570642,Les D�vens,Bus,497,5402,Bex
6.872586,46.457196,8593958,"La Tour-de-Peilz, Doges",Bus,451,5889,La Tour-de-Peilz
6.928767,46.414246,8594006,"Veytaux, ch�teau de Chillon",Bus,383,5891,Veytaux
6.460557,46.481032,8589251,"St-Prex, place d'Armes",Bus,383,5646,Saint-Prex
6.883514,46.461667,8593909,"Blonay, Mon D�sir",Bus,526,5881,Blonay
6.799569,46.771402,8577614,"Treytorrens (Payerne), village",Bus,667,5828,Treytorrens (Payerne)
6.574315,46.532351,8593868,"Chavannes-pr�s-Renens,Concorde",Bus,405,5627,Chavannes-pr�s-Renens
6.239937,46.601921,8579144,"Orient, centre",Bus,1016,5872,Le Chenit
6.706925,46.663354,8570221,"Peyres-Possens, caf�",Bus,703,5693,Montanaire
6.586186,46.809222,8507697,"Orges, village",Bus,564,5924,Orges
6.526023,46.73015,8581953,"Orbe, Suchet",Bus,498,5757,Orbe
6.622242,46.53867,8591996,"Lausanne, Bois-Gentil",Bus,606,5586,Lausanne
6.295005,46.508149,8579840,"Gimel, En P�ry-B�liaux",Bus,750,5428,Gimel
7.011763,46.341147,8595101,"Leysin, La Crois�e",Bus,1245,5407,Leysin
6.615948,46.652614,8570201,"Goumoens-la-Ville, Tuilerie",Bus,614,5541,Goumo�ns
6.573446,46.548412,8595516,"Crissier, Mongevon",Bus,437,5583,Crissier
6.894122,46.758722,8570373,"Granges-pr�s-Marnand, gare",Bus,469,5831,Valbroye
7.021436,46.920331,8579745,"Salavaux, Cotterd",Bus,484,5464,Vully-les-Lacs
6.261643,46.616308,8579143,"Les Bioux, AVJ",Bus,1023,5871,L'Abbaye
6.805765,46.565873,8570459,"Ch�tillens, coll�ge",Bus,638,5805,Oron
6.846687,46.459196,8593993,"Vevey, H�tel de Ville",Bus,376,5890,Vevey
6.853174,46.467281,8595118,"Vevey, Bi�ler",Bus,450,5890,Vevey
6.685059,46.504442,8592163,"Lutry, Taillepied",Bus,393,5606,Lutry
6.925673,46.769177,8570481,"Trey, village",Bus,576,5827,Trey
6.925534,46.423281,8593948,"Territet, L'Eaudine",Bus,399,5886,Montreux
7.090023,46.255659,8570649,"Les Plans-sur-Bex, Le Chamois",Bus,1070,5402,Bex
6.635451,46.556918,8593845,"Le Mont-s.-Laus., Coppoz-Poste",Bus,695,5587,Le Mont-sur-Lausanne
6.933826,46.387758,8595182,"Villeneuve VD, Pr� Neuf",Bus,373,5414,Villeneuve (VD)
7.114157,46.464638,8501348,"Les Moulins, Pont-de-Pierre",Bus,891,5841,Ch�teau-d'Oex
6.573693,46.555772,8588845,"Crissier, Timonet",Bus,470,5583,Crissier
