X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
6.626127,46.525581,6.6261270000,46.5255810000,8592120,"Lausanne, St-Roch",Bus,513,5586,Lausanne,645,3415,12755,37169
6.249597,46.395261,6.2495970000,46.3952610000,8588677,"Prangins, Musée national",Bus,410,5725,Prangins,117,615,2325,4317
6.243341,46.4278,6.2433410000,46.4278000000,8570011,"Coinsins, Les Vettanes",Bus,471,5710,Coinsins,7,28,315,1074
6.963201,46.333316,6.9632010000,46.3333160000,8504660,Vers-Morey,Bus,518,5415,Yvorne,57,112,390,767
6.685444,46.52267,6.6854440000,46.5226700000,8593790,"Belmont-s.-L., Champ-Chamot",Bus,691,5581,Belmont-sur-Lausanne,73,315,1209,4244
6.658862,46.778525,6.6588620000,46.7785250000,8570318,"Yverdon-les-Bains, HEIG-VD",Bus,444,5938,Yverdon-les-Bains,,855,2103,5654
6.419958,46.475755,6.4199580000,46.4757550000,8594454,"Etoy, Noyer-Girod",Bus,412,5636,Etoy,,6,356,2177
6.980723,46.926554,6.9807230000,46.9265540000,8570526,"Chabrey, village",Bus,500,5464,Vully-les-Lacs,83,199,317,324
7.089747,46.385727,7.0897470000,46.3857270000,8573653,"La Comballaz, L'Ortier",Bus,1382,5410,Ormont-Dessous,4,10,28,79
6.81852,46.761836,6.8185200000,46.7618360000,8577620,"Combremont-le-Grand, église",Bus,672,5831,Valbroye,52,151,289,298
7.083624,46.379924,7.0836240000,46.3799240000,8501758,"La Comballaz, poste",Bus,1354,5410,Ormont-Dessous,3,11,56,104
6.916843,46.432831,6.9168430000,46.4328310000,8593933,"Montreux, Les Planches",Bus,435,5886,Montreux,275,1115,4346,9295
6.607183,46.839324,6.6071830000,46.8393240000,8580463,"Grandevent, village",Bus,679,5560,Grandevent,20,138,219,334
6.795308,46.662205,6.7953080000,46.6622050000,8577652,"Moudon, Sorbier",Bus,530,5678,Moudon,86,426,1640,4144
6.890384,46.509585,6.8903840000,46.5095850000,8579187,"Monts-de-Corsier, Mur-Blanc",Bus,806,5884,Corsier-sur-Vevey,10,83,160,411
6.636964,46.780578,6.6369640000,46.7805780000,8579294,"Yverdon-les-Bains, Bel-Air",Bus,434,5938,Yverdon-les-Bains,226,842,4232,16787
6.48878,46.82794,6.4887800000,46.8279400000,8579071,"L'Auberson, Vers-le-Bois",Bus,1114,5568,Sainte-Croix,,,45,1177
6.456221,46.817967,6.4562210000,46.8179670000,8587594,"L'Auberson, Vers-chz-ls-Jaques",Bus,1106,5568,Sainte-Croix,39,146,235,439
6.497296,46.51695,6.4972960000,46.5169500000,8592258,"Morges, Bellevue",Bus,402,5642,Morges,16,1288,3622,12242
6.391887,46.690675,6.3918870000,46.6906750000,8570231,"Vaulion, Sur la Creusaz",Bus,928,5765,Vaulion,29,109,203,408
6.612341,46.539876,6.6123410000,46.5398760000,8592030,"Lausanne, Désert",Bus,562,5586,Lausanne,114,1421,4695,18773
6.337163,46.65779,6.3371630000,46.6577900000,8570160,"L'Abbaye, crêt-Blanc",Bus,1075,5871,L'Abbaye,,3,13,173
6.601366,46.635847,6.6013660000,46.6358470000,8570183,"St-Barthélemy, village",Bus,586,5535,Saint-Barthélemy (VD),71,288,567,778
6.472254,46.615276,6.4722540000,46.6152760000,8570134,"La Chaux (Cossonay), village",Bus,554,5474,La Chaux (Cossonay),71,244,401,418
6.270132,46.513519,6.2701320000,46.5135190000,8570018,"St-George, Céte-Malherbe",Bus,892,5434,Saint-George,45,164,207,821
6.565398,46.818574,6.5653980000,46.8185740000,8570260,"La Mothe, haut-du-village",Bus,548,5937,Vugelles-La Mothe,21,60,60,106
6.734974,46.685796,6.7349740000,46.6857960000,8570351,"St-Cierges, La Tondiaz",Bus,758,5693,Montanaire,26,64,346,447
7.059724,46.349531,7.0597240000,46.3495310000,8570636,"La Forclaz VD, Vougny-Paluex",Bus,1205,5410,Ormont-Dessous,3,14,23,170
6.761028,46.599233,6.7610280000,46.5992330000,8591932,"Carrouge VD, Ussières",Bus,716,5782,Carrouge (VD),6,172,345,1359
6.404217,46.636701,6.4042170000,46.6367010000,8570157,"La Coudre (L'Isle),bas village",Bus,807,5486,L'Isle,12,50,101,311
6.607646,46.635128,6.6076460000,46.6351280000,8570182,"St-Barthélemy, Champ Cadet",Bus,598,5535,Saint-Barthélemy (VD),55,155,377,658
6.863062,46.454413,6.8630620000,46.4544130000,8593952,"La Tour-de-Peilz, Bel-Air",Bus,402,5889,La Tour-de-Peilz,421,1218,4769,12447
6.402783,46.639252,6.4027830000,46.6392520000,8570156,"La Coudre (L'Isle), village",Bus,836,5486,L'Isle,35,74,117,454
6.712979,46.695104,6.7129790000,46.6951040000,8580578,"Bercher, Vers l'Eglise",Bus,636,5512,Bercher,8,67,441,1078
6.642497,46.765,6.6424970000,46.7650000000,8595065,"Yverdon, avenue des Sciences",Bus,440,5938,Yverdon-les-Bains,,6,1812,6644
6.317521,46.493026,6.3175210000,46.4930260000,8501860,"Essertines-sur-Rolle, village",Bus,726,5856,Essertines-sur-Rolle,73,246,407,579
6.530185,46.738613,6.5301850000,46.7386130000,8570246,"Orbe, Les Mosâques",Bus,485,5757,Orbe,,32,186,2427
6.583707,46.792831,6.5837070000,46.7928310000,8570334,"Essert-sous-Champvent, village",Bus,482,5905,Champvent,54,134,152,212
6.390195,46.509148,6.3901950000,46.5091480000,8583710,"St-Livres, grande salle",Bus,603,5435,Saint-Livres,17,58,517,603
7.050105,46.348527,7.0501050000,46.3485270000,8570633,"La Forclaz VD, La Trappaz",Bus,1047,5410,Ormont-Dessous,3,12,34,119
6.438799,46.478675,6.4387990000,46.4786750000,8589255,"St-Prex, ch. des Oiseaux",Bus,420,5646,Saint-Prex,26,97,779,2361
6.719557,46.781415,6.7195570000,46.7814150000,8507687,"La Mauguettaz, croisée",Bus,454,5939,Yvonand,25,81,111,111
6.600777,46.70423,6.6007770000,46.7042300000,8570198,"Corcelles-sur-Chav., village",Bus,558,5751,Corcelles-sur-Chavornay,27,199,300,336
6.866725,46.453838,6.8667250000,46.4538380000,8593960,"La Tour-de-Peilz, Gérénaz",Bus,413,5889,La Tour-de-Peilz,143,704,3827,11051
6.546324,46.512838,6.5463240000,46.5128380000,8579231,"St-Sulpice VD, Venoge sud",Bus,397,5648,Saint-Sulpice (VD),60,477,740,4192
7.067418,46.350923,7.0674180000,46.3509230000,8501766,"La Forclaz VD, village",Bus,1260,5410,Ormont-Dessous,44,70,104,183
6.33627,46.531255,6.3362700000,46.5312550000,8570120,"Bière, casernes",Bus,686,5425,Bière,56,75,323,1469
6.541744,46.525829,6.5417440000,46.5258290000,8588872,"Denges, Les Oches",Bus,396,5632,Denges,4,369,866,2181
6.619217,46.834994,6.6192170000,46.8349940000,8507679,"Fontaines-sur-Grandson,collège",Bus,564,5557,Fontaines-sur-Grandson,88,178,184,548
6.412837,46.474998,6.4128370000,46.4749980000,8577590,"Etoy, En Bellevue",Bus,411,5636,Etoy,4,43,275,1698
6.784121,46.590139,6.7841210000,46.5901390000,8570423,"Ferlens VD, Champ des Oches",Bus,747,5789,Ferlens (VD),22,93,239,486
6.423253,46.48272,6.4232530000,46.4827200000,8583358,"Etoy, collège Les Communaux",Bus,433,5636,Etoy,,25,516,2099
6.7832,46.58748,6.7832000000,46.5874800000,8570422,"Ferlens VD, Le Moulin",Bus,764,5789,Ferlens (VD),37,126,282,458
6.856393,46.453578,6.8563930000,46.4535780000,8593956,"La Tour-de-Peilz, centre",Bus,383,5889,La Tour-de-Peilz,328,1738,4376,12221
6.629202,46.850943,6.6292020000,46.8509430000,8507684,"Villars-Burquin, Grange-Meule",Bus,862,5571,Tévenon,20,116,257,722
6.671593,46.655026,6.6715930000,46.6550260000,8583231,"Sugnens, village",Bus,674,5540,Montilliez,72,289,318,379
6.928908,46.396426,6.9289080000,46.3964260000,8595177,"Villeneuve VD, Pré au Comte",Bus,374,5414,Villeneuve (VD),232,1216,3437,5160
7.182928,46.349687,7.1829280000,46.3496870000,8571278,"Les Diablerets, Les Preises",Bus,1385,5411,Ormont-Dessus,3,3,9,75
6.496105,46.634818,6.4961050000,46.6348180000,8595611,"Dizy, village",Bus,442,5481,Dizy,91,199,222,225
6.478483,46.642389,6.4784830000,46.6423890000,8595610,"Chevilly, Fontaines",Bus,577,5476,Chevilly,48,152,237,251
6.740347,46.734289,6.7403470000,46.7342890000,8507954,"Prahins, village",Bus,693,5913,Donneloye,50,98,130,253
6.168053,46.369762,6.1680530000,46.3697620000,8588935,"Crassier, Levrioux",Bus,471,5714,Crassier,82,180,546,1146
6.373351,46.5991,6.3733510000,46.5991000000,8570112,"Montricher, Champet",Bus,735,5492,Montricher,83,368,741,921
6.570074,46.548089,6.5700740000,46.5480890000,8593814,"Crissier, Gottrause",Bus,426,5583,Crissier,7,18,725,7349
6.738413,46.736104,6.7384130000,46.7361040000,8570316,"Prahins, Les Ivuez",Bus,682,5913,Donneloye,32,62,128,245
6.576987,46.553701,6.5769870000,46.5537010000,8588843,"Crissier, centre",Bus,467,5583,Crissier,125,796,1505,4186
6.928839,46.871831,6.9288390000,46.8718310000,8504986,"Grandcour, poste",Bus,481,5817,Grandcour,55,303,617,760
6.432571,46.625503,6.4325710000,46.6255030000,8570138,"Cuarnens, Moulin-Dessus",Bus,640,5479,Cuarnens,,44,315,443
6.844485,46.48198,6.8444850000,46.4819800000,8504728,"Jongny, Reposoir",Bus,643,5885,Jongny,48,499,1231,2705
6.696189,46.755187,6.6961890000,46.7551870000,8507670,"Cronay, village",Bus,606,5910,Cronay,30,200,324,350
6.930794,46.394932,6.9307940000,46.3949320000,8595187,"Villeneuve VD, Pré du Bruit",Bus,374,5414,Villeneuve (VD),7,1371,2900,5037
6.891984,46.453036,6.8919840000,46.4530360000,8579204,"Chailly-Montreux, village",Bus,477,5886,Montreux,76,450,1471,4494
6.57971,46.557131,6.5797100000,46.5571310000,8593810,"Crissier, Casard Plan Soleil",Bus,495,5583,Crissier,86,405,1238,2736
6.188273,46.317428,6.1882730000,46.3174280000,8587577,"Coppet, gare",Bus,392,5712,Coppet,4,114,1110,3759
6.84361,46.476281,6.8436100000,46.4762810000,8504959,"Corsier-sur-Vevey, Châtillon",Bus,549,5884,Corsier-sur-Vevey,27,124,656,6903
6.50344,46.821538,6.5034400000,46.8215380000,8579282,"Ste-Croix, La Charmille",Bus,1081,5568,Sainte-Croix,208,860,2052,3665
6.179085,46.32895,6.1790850000,46.3289500000,8595172,"Coppet, Les Marais",Bus,425,5712,Coppet,22,237,797,3240
6.446243,46.68095,6.4462430000,46.6809500000,8570151,"Juriens, Le Cosson",Bus,817,5754,Juriens,,6,24,98
6.96047,46.34858,6.9604700000,46.3485800000,8501759,"Corbeyrier, poste",Bus,911,5404,Corbeyrier,59,150,303,405
7.155523,46.351169,7.1555230000,46.3511690000,8579125,"Les Diablerets, gare",Bus,1155,5411,Ormont-Dessus,29,194,704,1048
6.719151,46.854953,6.7191510000,46.8549530000,8570280,"Concise, Bas-du-Pavé",Bus,468,5554,Concise,85,248,646,929
6.940811,46.314932,6.9408110000,46.3149320000,8581049,"Aigle, Service Auto",Bus,386,5401,Aigle,,10,39,353
6.479615,46.54989,6.4796150000,46.5498900000,8570102,"Colombier VD, En Plan",Bus,510,5634,Echichens,6,13,90,809
6.688992,46.52998,6.6889920000,46.5299800000,8593789,"Belmont-s.-L., Chaffiause",Bus,743,5581,Belmont-sur-Lausanne,23,89,289,1064
6.517728,46.517819,6.5177280000,46.5178190000,8592279,"Préverenges, Taudaz",Bus,384,5643,Préverenges,153,837,1955,6891
6.688273,46.526413,6.6882730000,46.5264130000,8593794,"Belmont-s.-L., Signal Belmont",Bus,766,5581,Belmont-sur-Lausanne,33,226,727,2208
6.788887,46.651797,6.7888870000,46.6517970000,8579243,"Bressonnaz, village",Bus,534,5678,Moudon,,43,61,196
7.042307,46.878145,7.0423070000,46.8781450000,8577825,"Avenches, Faubourg",Bus,459,5451,Avenches,22,522,1748,3426
6.715521,46.666414,6.7155210000,46.6664140000,8507663,"Chapelle-sur-Moudon, La Combe",Bus,726,5693,Montanaire,,29,34,149
6.61066,46.516852,6.6106600000,46.5168520000,8592044,"Lausanne, Figuiers",Bus,400,5586,Lausanne,436,1960,6588,17421
6.568446,46.520378,6.5684460000,46.5203780000,8579234,"Ecublens VD, EPFL Piccard",Bus,395,5635,Ecublens (VD),,,583,6778
7.055285,46.354535,7.0552850000,46.3545350000,8570632,"Les Planches (Aigle), gare",Bus,941,5410,Ormont-Dessous,,8,50,401
6.756469,46.747539,6.7564690000,46.7475390000,8507672,"Démoret, collège",Bus,732,5912,Démoret,29,95,122,131
6.420543,46.471649,6.4205430000,46.4716490000,8577592,"Buchillon, collège",Bus,402,5623,Buchillon,127,427,887,1423
6.717715,46.508819,6.7177150000,46.5088190000,8582778,"Grandvaux, crêt-Mouton",Bus,708,5613,Bourg-en-Lavaux,42,194,319,1197
6.87095,46.494097,6.8709500000,46.4940970000,8504962,"Monts-de-Corsier, Longpraz",Bus,757,5884,Corsier-sur-Vevey,17,76,196,414
6.641498,46.808659,6.6414980000,46.8086590000,8570254,"Grandson, crêt-aux-Moines",Bus,457,5561,Grandson,222,766,1256,1864
6.299931,46.430631,6.2999310000,46.4306310000,8570061,"Dully, Sous-Dully",Bus,401,5855,Dully,3,90,440,844
7.017534,46.270192,7.0175340000,46.2701920000,8570642,Les Dévens,Bus,497,5402,Bex,6,83,173,595
6.465161,46.592275,6.4651610000,46.5922750000,8570107,"Grancy, collège",Bus,581,5485,Grancy,76,250,328,376
6.872586,46.457196,6.8725860000,46.4571960000,8593958,"La Tour-de-Peilz, Doges",Bus,451,5889,La Tour-de-Peilz,23,232,1255,6380
6.22728,46.413495,6.2272800000,46.4134950000,8570009,"Duillier, croisée de Trélex",Bus,454,5715,Duillier,4,18,116,985
6.928767,46.414246,6.9287670000,46.4142460000,8594006,"Veytaux, Château de Chillon",Bus,383,5891,Veytaux,,15,206,1595
6.626354,46.745149,6.6263540000,46.7451490000,8507653,"Belmont-sur-Yverdon, Battoir",Bus,535,5902,Belmont-sur-Yverdon,43,146,310,446
