"","X","Y","Numero","Nom","MoyenTrans","Altitude","NumeroComm","NomCommune","y_Coord_Es","x_Coord_No","WGSlong","WGSlat"
"1",508550,138904,8588677,"Prangins, Mus?e national","Bus",410,5725,"Prangins",508550,138904,6.24959711909748,46.3952614252765
"2",542206,152652,8593790,"Belmont-s.-L., Champ-Chamot","Bus",691,5581,"Belmont-sur-Lausanne",542206,152652,6.68544430705416,46.5226702197472
"3",521768,147667,8594454,"Etoy, Noyer-Girod","Bus",412,5636,"Etoy",521768,147667,6.41995833479725,46.4757546096716
"4",573161,137211,8573653,"La Comballaz, L'Ortier","Bus",1382,5410,"Ormont-Dessous",573161,137211,7.08974744467917,46.3857268502465
"5",572687,136568,8501758,"La Comballaz, poste","Bus",1354,5410,"Ormont-Dessous",572687,136568,7.08362364136855,46.3799236044196
"6",536574,187912,8580463,"Grandevent, village","Bus",679,5560,"Grandevent",536574,187912,6.60718257674174,46.8393241422593
"7",557921,151067,8579187,"Monts-de-Corsier, Mur-Blanc","Bus",806,5884,"Corsier-sur-Vevey",557921,151067,6.89038434089932,46.5095846979554
"8",527527,186749,8579071,"L'Auberson, Vers-le-Bois","Bus",1114,5568,"Sainte-Croix",527527,186749,6.48878032095615,46.8279396945666
"9",525029,185671,8587594,"L'Auberson, Vers-chz-ls-Jaques","Bus",1106,5568,"Sainte-Croix",525029,185671,6.45622086594171,46.8179668055266
"10",519931,171585,8570231,"Vaulion, Sur la Creusaz","Bus",928,5765,"Vaulion",519931,171585,6.39188675381751,46.690674644675
"11",515694,167987,8570160,"L'Abbaye, Cr?t-Blanc","Bus",1075,5871,"L'Abbaye",515694,167987,6.33716336590279,46.6577901697828
"12",525975,163125,8570134,"La Chaux (Cossonay), village","Bus",554,5474,"La Chaux (Cossonay)",525975,163125,6.47225427495762,46.615275940096
"13",533361,185640,8570260,"La Mothe, haut-du-village","Bus",548,5937,"Vugelles-La Mothe",533361,185640,6.56539798848655,46.8185739929392
"14",570832,133198,8570636,"La Forclaz VD, Vougny-Paluex","Bus",1205,5410,"Ormont-Dessous",570832,133198,7.05972424191174,46.3495306833101
"15",520795,165573,8570157,"La Coudre (L'Isle),bas village","Bus",807,5486,"L'Isle",520795,165573,6.40421665540991,46.6367013247564
"16",577562,133769,8593774,"La Faverge","CheminFer",1147,5411,"Ormont-Dessus",577562,133769,7.14712321518386,46.3549256895207
"17",555779,144949,8593952,"La Tour-de-Peilz, Bel-Air","Bus",402,5889,"La Tour-de-Peilz",555779,144949,6.86306153178013,46.4544129941635
"18",544496,171800,8580578,"Bercher, Vers l'Eglise","Bus",636,5512,"Bercher",544496,171800,6.71297920724145,46.6951036561917
"19",513929,149694,8501860,"Essertines-sur-Rolle, village","Bus",726,5856,"Essertines-sur-Rolle",513929,149694,6.31752105753796,46.4930257454454
"20",534727,182763,8570334,"Essert-sous-Champvent, village","Bus",482,5905,"Champvent",534727,182763,6.58370738163656,46.7928310822623
"21",570091,133090,8570633,"La Forclaz VD, La Trappaz","Bus",1047,5410,"Ormont-Dessous",570091,133090,7.05010523067647,46.3485265807538
"22",545087,181390,8507687,"La Mauguettaz, crois?e","Bus",454,5939,"Yvonand",545087,181390,6.71955663674153,46.7814154555201
"23",556060,144883,8593960,"La Tour-de-Peilz, G?r?naz","Bus",413,5889,"La Tour-de-Peilz",556060,144883,6.86672512518228,46.4538377769842
"24",571425,133350,8501766,"La Forclaz VD, village","Bus",1260,5410,"Ormont-Dessous",571425,133350,7.06741827446894,46.3509234919905
"25",531184,153119,8588872,"Denges, Les Oches","Bus",396,5632,"Denges",531184,153119,6.54174357505923,46.5258286831349
"26",521220,147590,8577590,"Etoy, En Bellevue","Bus",411,5636,"Etoy",521220,147590,6.4128366136733,46.4749978000374
"27",522031,148438,8583358,"Etoy, coll?ge Les Communaux","Bus",433,5636,"Etoy",522031,148438,6.42325263805609,46.4827203019672
"28",555266,144860,8593956,"La Tour-de-Peilz, centre","Bus",383,5889,"La Tour-de-Peilz",555266,144860,6.85639322128504,46.4535783686517
"29",541287,167375,8583231,"Sugnens, village","Bus",674,5540,"Montilliez",541287,167375,6.67159288739128,46.6550257744127
"30",580316,133177,8571278,"Les Diablerets, Les Preises","Bus",1385,5411,"Ormont-Dessus",580316,133177,7.18292790388523,46.3496866763108
"31",509096,164195,8530622,"Le Rocheray NLJ","Bateau",1004,5872,"Le Chenit",509096,164195,6.25172135633929,46.6228173934539
"32",546628,176137,8507954,"Prahins, village","Bus",693,5913,"Donneloye",546628,176137,6.7403468857064,46.7342894570825
