"","OBJECTID","RELI","x_coor","y_coor","B14BTOT","Count_","IPTA"
"1",98314,54691561,546900,156100,22,0,0
"2",163858,54101548,541000,154800,36,1,0.02778
"3",98316,54631709,546300,170900,10,1,0.1
"4",294942,54001519,540000,151900,33,1,0.0303
"5",327713,55261744,552600,174400,6,0,0
"6",98317,54601544,546000,154400,23,0,0
"7",98318,54601685,546000,168500,6,0,0
"8",98319,54641740,546400,174000,32,1,0.03125
"9",262175,51571572,515700,157200,4,1,0.25
"10",98320,54771628,547700,162800,10,0,0
"11",98321,54741560,547400,156000,51,1,0.01961
"12",98322,54771824,547700,182400,3,0,0
"13",262178,53581564,535800,156400,3,1,0.33333
"14",98324,54851816,548500,181600,4,1,0.25
"15",98325,54811610,548100,161000,4,2,0.5
"16",98326,54791656,547900,165600,54,0,0
"17",294953,52431663,524300,166300,5,0,0
"18",98328,54901507,549000,150700,3,0,0
"19",163870,54351515,543500,151500,40,3,0.075
"20",98329,54901614,549000,161400,46,0,0
"21",163871,56671222,566700,122200,12,2,0.16667
"22",98330,54931472,549300,147200,3,1,0.33333
"23",18,49801463,498000,146300,3,0,0
"24",98331,54881521,548800,152100,6,0,0
"25",98333,54861641,548600,164100,3,1,0.33333
"26",98334,55021587,550200,158700,23,0,0
"27",262189,52281605,522800,160500,7,0,0
"28",163876,51091416,510900,141600,21,1,0.04762
"29",98335,55031572,550300,157200,3,0,0
"30",98336,55031688,550300,168800,22,1,0.04545
"31",98337,55001562,550000,156200,3,0,0
"32",294964,57031943,570300,194300,5,0,0
"33",98338,55011598,550100,159800,9,0,0
"34",262193,56121466,561200,146600,5,0,0
"35",98339,54971747,549700,174700,3,0,0
"36",262195,52451481,524500,148100,30,1,0.03333
"37",98340,54981643,549800,164300,10,1,0.1
"38",294967,50841426,508400,142600,6,0,0
"39",98341,55011542,550100,154200,3,0,0
"40",98342,55161782,551600,178200,4,0,0
"41",327740,55471484,554700,148400,21,0,0
"42",229428,54141566,541400,156600,4,1,0.25
"43",163886,51981749,519800,174900,3,0,0
"44",98345,55191491,551900,149100,4,0,0
"45",34,50131375,501300,137500,3,0,0
"46",98348,55131468,551300,146800,3,0,0
"47",98349,55141580,551400,158000,11,1,0.09091
"48",327746,56161424,561600,142400,10,2,0.2
"49",262205,54631741,546300,174100,15,1,0.06667
"50",229434,52551506,525500,150600,4,1,0.25
