"","X","Y","OBJECTID","RELI","B14BTOT","Count_","IPTA","WGSlong","WGSlat"
"1",546900,156100,98314,54691561,22,0,0,6.7462184420953,46.5540745900086
"2",541000,154800,163858,54101548,36,1,0,6.66945389893107,46.5418866454562
"3",546300,170900,98316,54631709,10,1,0,6.73666863244034,46.6871556208981
"4",540000,151900,294942,54001519,33,1,0,6.65679441937789,46.5157117928636
"5",552600,174400,327713,55261744,6,0,0,6.81865738283969,46.719116009478
"6",546000,154400,98317,54601544,23,0,0,6.73468200875982,46.5387106653735
"7",546000,168500,98318,54601685,6,0,0,6.73302931658472,46.6655430422224
"8",546400,174000,98319,54641740,32,1,0,6.73761377440789,46.7150485975979
"9",515700,157200,262175,51571572,4,1,0,6.33921632028944,46.5607653293116
"10",547700,162800,98320,54771628,10,0,0,6.75588973912517,46.6144056913676
"11",547400,156000,98321,54741560,51,1,0,6.75274945299487,46.5532145581675
"12",547700,182400,98322,54771824,3,0,0,6.7536564112247,46.7907107070703
"13",535800,156400,262178,53581564,3,1,0,6.60144392394972,46.5558001513939
"14",548500,181600,98324,54851816,4,1,0,6.76422365411068,46.783576962654
"15",548100,161000,98325,54811610,4,2,1,6.76131406283865,46.598245455827
"16",547900,165600,98326,54791656,54,0,0,6.75818355872285,46.6396079168697
"17",524300,166300,294953,52431663,5,0,0,6.44986748668357,46.6436469278551
"18",549000,150700,98328,54901507,3,0,0,6.77419705911974,46.5056634492144
"19",543500,151500,163870,54351515,40,3,0,6.70244802167257,46.5124181939101
"20",549000,161400,98329,54901614,46,0,0,6.77301470266229,46.6019128149859
"21",566700,122200,163871,56671222,12,2,0,7.00683365264797,46.250406392005
"22",549300,147200,98330,54931472,3,1,0,6.77848890630184,46.4742027001119
"23",498000,146300,18,49801463,3,0,0,6.11082323588659,46.4602627503761
"24",548800,152100,98331,54881521,6,0,0,6.77143647248896,46.5182415828844
"25",548600,164100,98333,54861641,3,1,0,6.76749302257933,46.6261693095551
"26",550200,158700,98334,55021587,23,0,0,6.78896740127871,46.5777160633143
"27",522800,160500,262189,52281605,7,0,0,6.43124963976242,46.5913053110395
"28",510900,141600,163876,51091416,21,1,0,6.27962971342077,46.4198271195187
"29",550300,157200,98335,55031572,3,0,0,6.79043352791432,46.5642305854899
"30",550300,168800,98336,55031688,22,1,0,6.78918148725934,46.6685755077238
"31",550000,156200,98337,55001562,3,0,0,6.78662936818555,46.5552129517252
"32",570300,194300,294964,57031943,5,0,0,7.04887122538745,46.8991449106158
"33",550100,159800,98338,55011598,9,0,0,6.78754384723322,46.587603406186
"34",561200,146600,262193,56121466,5,0,0,6.93348024166406,46.469600140604
"35",549700,174700,98339,54971747,3,0,0,6.78069495513031,46.72160219319
"36",524500,148100,262195,52451481,30,1,0,6.4554579271113,46.4799628132428
"37",549800,164300,98340,54981643,10,1,0,6.78313920468981,46.6280595853747
"38",508400,142600,294967,50841426,6,0,0,6.24691733287604,46.4284849357756
"39",550100,154200,98341,55011542,3,0,0,6.78814949648504,46.5372298453915
"40",551600,178200,98342,55161782,4,0,0,6.80517700319679,46.753225873733
"41",554700,148400,327740,55471484,21,0,0,6.84868026188338,46.4853839422896
"42",541400,156600,229428,54141566,4,1,0,6.67443985281264,46.5581130894784
"43",519800,174900,163886,51981749,3,0,0,6.38959502490069,46.7204763242806
"44",551900,149100,98345,55191491,4,0,0,6.81214368074167,46.4914854956328
"45",501300,137500,34,50131375,3,0,0,6.15564697975704,46.3816060420621
"46",551300,146800,98348,55131468,3,0,0,6.80457116642866,46.4707529079914
"47",551400,158000,98349,55141580,11,1,0,6.80469516791478,46.5715076360745
"48",561600,142400,327746,56161424,10,2,0,6.93903599232996,46.4318423450106
"49",546300,174100,262205,54631741,15,1,0,6.73629425942967,46.7159400683712
"50",525500,150600,229434,52551506,4,1,0,6.46807617754599,46.5025620611929
"51",552300,146900,98351,55231469,32,2,0,6.81758014318431,46.4717243665291
"52",517600,173000,327749,51761730,4,0,0,6.36116312465779,46.7031183545168
"53",544800,149500,327750,54481495,7,1,0,6.71962467420064,46.4945361595149
"54",502200,128000,40,50221280,3,1,0,6.16934123834508,46.2962907182987
"55",552800,146700,98354,55281467,20,3,0,6.82411029430358,46.469960702016
"56",502600,129000,41,50261290,20,1,0,6.17432262436124,46.3053432221804
"57",558600,145000,229438,55861450,8,4,1,6.89977358984266,46.4550519176883
"58",519300,149400,262210,51931494,22,0,0,6.3875234550339,46.4910499070385
"59",502700,140700,42,50271407,17,0,0,6.1731714014919,46.4105926884276
"60",565700,126800,229440,56571268,14,2,0,6.99352861255657,46.2917352269688
"61",503000,139300,43,50301393,25,0,0,6.17736511480606,46.3980438989791
"62",539900,153100,262212,53991531,20,1,0,6.6553353603656,46.5264970109172
"63",503200,134300,45,50321343,12,0,0,6.18100713384016,46.3531004926477
"64",524000,147700,327755,52401477,19,0,0,6.44901319045104,46.4763083239688
"65",525400,151400,262214,52541514,9,0,0,6.46664445705122,46.5097468632809
"66",537600,165700,196673,53761657,7,0,0,6.62365543894283,46.6396247439952
"67",503100,141400,48,50311414,3,0,0,6.17822658836644,46.416946707121
"68",553500,146900,98362,55351469,27,6,0,6.83320358404078,46.4718087083201
"69",530900,152900,327760,53091529,49,1,0,6.53807522484863,46.5238295215462
