X;Y;OBJECTID;RELI;B14BTOT;Count_;IPTA
546900;156100;98314;54691561;22;0;0
541000;154800;163858;54101548;36;1;0
546300;170900;98316;54631709;10;1;0
540000;151900;294942;54001519;33;1;0
552600;174400;327713;55261744;6;0;0
546000;154400;98317;54601544;23;0;0
546000;168500;98318;54601685;6;0;0
546400;174000;98319;54641740;32;1;0
515700;157200;262175;51571572;4;1;0
547700;162800;98320;54771628;10;0;0
547400;156000;98321;54741560;51;1;0
547700;182400;98322;54771824;3;0;0
535800;156400;262178;53581564;3;1;0
548500;181600;98324;54851816;4;1;0
548100;161000;98325;54811610;4;2;1
547900;165600;98326;54791656;54;0;0
524300;166300;294953;52431663;5;0;0
549000;150700;98328;54901507;3;0;0
543500;151500;163870;54351515;40;3;0
549000;161400;98329;54901614;46;0;0
566700;122200;163871;56671222;12;2;0
549300;147200;98330;54931472;3;1;0
498000;146300;18;49801463;3;0;0
548800;152100;98331;54881521;6;0;0
548600;164100;98333;54861641;3;1;0
550200;158700;98334;55021587;23;0;0
522800;160500;262189;52281605;7;0;0
510900;141600;163876;51091416;21;1;0
550300;157200;98335;55031572;3;0;0
550300;168800;98336;55031688;22;1;0
550000;156200;98337;55001562;3;0;0
570300;194300;294964;57031943;5;0;0
550100;159800;98338;55011598;9;0;0
561200;146600;262193;56121466;5;0;0
549700;174700;98339;54971747;3;0;0
524500;148100;262195;52451481;30;1;0
549800;164300;98340;54981643;10;1;0
508400;142600;294967;50841426;6;0;0
550100;154200;98341;55011542;3;0;0
551600;178200;98342;55161782;4;0;0
554700;148400;327740;55471484;21;0;0
541400;156600;229428;54141566;4;1;0
519800;174900;163886;51981749;3;0;0
551900;149100;98345;55191491;4;0;0
501300;137500;34;50131375;3;0;0
551300;146800;98348;55131468;3;0;0
551400;158000;98349;55141580;11;1;0
561600;142400;327746;56161424;10;2;0
546300;174100;262205;54631741;15;1;0
525500;150600;229434;52551506;4;1;0
552300;146900;98351;55231469;32;2;0
517600;173000;327749;51761730;4;0;0
544800;149500;327750;54481495;7;1;0
502200;128000;40;50221280;3;1;0
552800;146700;98354;55281467;20;3;0
502600;129000;41;50261290;20;1;0
558600;145000;229438;55861450;8;4;1
519300;149400;262210;51931494;22;0;0
502700;140700;42;50271407;17;0;0
565700;126800;229440;56571268;14;2;0
503000;139300;43;50301393;25;0;0
539900;153100;262212;53991531;20;1;0
503200;134300;45;50321343;12;0;0
524000;147700;327755;52401477;19;0;0
525400;151400;262214;52541514;9;0;0
537600;165700;196673;53761657;7;0;0
503100;141400;48;50311414;3;0;0
553500;146900;98362;55351469;27;6;0
530900;152900;327760;53091529;49;1;0
533100;158600;196676;53311586;14;1;0
553900;148100;98363;55391481;10;0;0
502900;130100;50;50291301;3;0;0
504100;130200;51;50411302;46;2;0
503600;131000;52;50361310;13;1;0
553900;172600;98365;55391726;85;0;0
503400;129900;229450;50341299;35;2;0
553500;179500;98366;55351795;3;1;0
553700;156300;98367;55371563;3;2;1
507300;148400;294993;50731484;12;0;0
503500;130300;56;50351303;7;2;0
541400;152400;294996;54141524;36;3;0
504300;137800;58;50431378;4;0;0
554000;154500;98371;55401545;3;1;0
504300;130900;59;50431309;5;0;0
504300;130800;61;50431308;6;0;0
554300;146900;98374;55431469;21;1;0
554300;145900;98375;55431459;26;4;0
504700;131600;64;50471316;5;0;0
554800;172300;98378;55481723;21;1;0
504800;143500;66;50481435;3;1;0
542100;151400;196692;54211514;57;3;0
555000;148300;98380;55501483;5;0;0
505900;143400;68;50591434;47;1;0
555000;145300;98381;55501453;115;8;0
554900;173700;98382;55491737;3;0;0
566600;122300;196695;56661223;83;2;0
506100;143900;70;50611439;17;1;0
545000;189400;295009;54501894;3;2;1
555500;145200;98383;55551452;59;3;0
543100;155700;262239;54311557;8;0;0
551100;156600;163926;55111566;3;0;0
506100;162000;71;50611620;3;0;0
537600;160200;196697;53761602;26;1;0
582500;148400;295011;58251484;3;2;1
506300;146200;72;50631462;3;1;0
555900;145200;98386;55591452;124;1;0
506400;137600;196699;50641376;8;2;0
569800;192600;229471;56981926;203;2;0
556300;149500;98388;55631495;24;1;0
556400;145400;98389;55641454;37;3;0
506000;137400;76;50601374;40;2;0
543100;193400;163931;54311934;3;0;0
506000;143300;77;50601433;7;1;0
576700;148300;327788;57671483;5;0;0
556100;147500;98392;55611475;15;0;0
507600;144500;79;50761445;5;0;0
525500;185000;327790;52551850;8;0;0
507000;137600;80;50701376;67;2;0
507700;140500;81;50771405;11;0;0
556800;145100;98394;55681451;6;0;0
557200;175300;98395;55721753;23;0;0
508100;137900;83;50811379;15;0;0
507900;163200;295024;50791632;15;1;0
507800;163000;85;50781630;9;2;0
557600;177000;98398;55761770;26;0;0
557400;178400;98399;55741784;4;0;0
547500;161400;295025;54751614;3;1;0
507800;147900;86;50781479;17;1;0
510200;163800;87;51021638;8;1;0
563300;186400;229484;56331864;12;1;0
557300;173300;98401;55731733;3;0;0
548800;149900;229485;54881499;28;1;0
513100;145300;88;51311453;7;0;0
515100;146000;89;51511460;37;2;0
513600;151800;90;51361518;6;0;0
513700;146700;91;51371467;88;1;0
511900;148000;92;51191480;3;0;0
514100;169300;93;51411693;4;0;0
558100;147100;98406;55811471;14;2;0
528400;152500;229490;52841525;4;3;1
515400;146600;94;51541466;16;1;0
556900;146400;262262;55691464;16;3;0
516400;148800;95;51641488;3;0;0
518600;173600;96;51861736;4;1;0
536100;153500;295035;53611535;41;1;0
558200;146200;98409;55821462;47;9;0
516800;149400;97;51681494;6;0;0
558100;144900;98410;55811449;18;2;0
543800;189900;163953;54381899;4;0;0
517000;149900;98;51701499;5;0;0
518300;146500;99;51831465;3;0;0
515900;157600;100;51591576;3;0;0
503600;130300;196726;50361303;4;2;1
519100;149200;101;51911492;7;0;0
558500;136200;98414;55851362;10;0;0
562100;144800;229498;56211448;3;1;0
519600;149800;102;51961498;127;1;0
556700;145700;163957;55671457;3;1;0
558700;145100;98415;55871451;24;3;0
547400;190600;327813;54741906;9;1;0
560800;180000;262271;56081800;22;1;0
537700;151300;229500;53771513;30;4;0
520400;150600;103;52041506;19;0;0
519600;175000;104;51961750;35;0;0
520700;152500;105;52071525;3;0;0
518800;149400;106;51881494;6;1;0
564400;126600;163961;56441266;5;0;0
519400;149600;107;51941496;28;1;0
521100;163400;108;52111634;26;1;0
559000;145800;98421;55901458;5;1;0
550300;168600;196734;55031686;8;0;0
520100;147700;109;52011477;5;2;0
559900;177400;98423;55991774;9;0;0
522900;157200;110;52291572;3;1;0
523900;150600;111;52391506;4;0;0
522800;151300;112;52281513;3;0;0
526000;149900;113;52601499;29;0;0
569200;192100;229510;56921921;34;0;0
560000;147000;98427;56001470;3;1;0
524900;148800;115;52491488;61;2;0
559500;177500;98428;55951775;3;0;0
524400;150400;116;52441504;8;0;0
525100;152200;117;52511522;4;0;0
557500;146000;327827;55751460;9;1;0
560500;138000;98430;56051380;52;0;0
507300;144600;196744;50731446;3;1;0
526900;151300;118;52691513;47;4;0
527000;150700;119;52701507;142;3;0
527400;167600;120;52741676;3;0;0
560800;176400;98434;56081764;5;1;0
533900;165600;229518;53391656;8;1;0
527500;151700;121;52751517;11;2;0
528300;167700;122;52831677;3;0;0
528100;186000;123;52811860;32;1;0
528400;185700;124;52841857;26;2;0
560800;142700;98437;56081427;10;4;0
527900;186400;125;52791864;13;0;0
536200;153600;295064;53621536;144;3;0
560900;134500;98438;56091345;31;3;0
527900;155300;126;52791553;7;0;0
529700;152800;127;52971528;3;2;1
505400;161400;327837;50541614;10;0;0
530000;178300;128;53001783;52;0;0
530000;157900;129;53001579;5;0;0
560900;144100;98442;56091441;5;1;0
529800;171900;130;52981719;12;2;0
581100;148400;163986;58111484;3;0;0
528900;157800;131;52891578;5;1;0
530200;162300;132;53021623;9;1;0
561300;137600;98446;56131376;5;1;0
530500;166800;133;53051668;16;1;0
528400;159700;262302;52841597;16;0;0
530700;166800;134;53071668;6;0;0
530900;153900;135;53091539;23;1;0
578800;133200;327846;57881332;3;1;0
531000;154100;136;53101541;54;1;0
505000;140900;163992;50501409;8;1;0
532200;163300;138;53221633;9;0;0
536100;163400;163994;53611634;6;0;0
532300;156000;139;53231560;64;0;0
532600;152700;140;53261527;16;2;0
559800;193100;196767;55981931;6;1;0
533800;154200;141;53381542;265;4;0
551000;168100;295080;55101681;3;0;0
533700;173300;142;53371733;30;1;0
533500;180000;143;53351800;3;1;0
533300;179900;144;53331799;46;1;0
533500;153200;145;53351532;3;1;0
535600;186700;229542;53561867;25;1;0
562500;183600;98459;56251836;5;0;0
534700;179900;146;53471799;3;1;0
540800;196600;262315;54081966;3;0;0
534100;154600;149;53411546;170;4;0
503000;140500;327859;50301405;28;2;0
513700;146600;327860;51371466;3;1;0
554100;157600;164005;55411576;15;1;0
534100;166000;150;53411660;18;1;0
533900;166600;151;53391666;9;0;0
534600;182000;152;53461820;16;1;0
529800;171500;196778;52981715;18;0;0
535400;152500;153;53541525;19;1;0
563700;130300;98466;56371303;14;0;0
533400;183100;196780;53341831;3;0;0
535600;157400;154;53561574;21;1;0
535000;159000;155;53501590;3;1;0
565600;127100;295096;56561271;20;2;0
535600;172800;157;53561728;4;1;0
546800;159300;229554;54681593;6;0;0
536300;177100;158;53631771;28;1;0
573000;123000;229555;57301230;4;0;0
535800;155300;159;53581553;8;2;0
576900;134100;229556;57691341;3;1;0
528800;168900;164014;52881689;17;0;0
564800;197000;98473;56481970;6;0;0
536100;165500;160;53611655;7;0;0
536100;170300;161;53611703;38;1;0
536400;153400;162;53641534;89;1;0
569500;197900;327872;56951979;23;1;0
521600;163800;229559;52161638;80;3;0
536800;151500;163;53681515;15;1;0
565200;197400;98477;56521974;21;1;0
536500;153000;164;53651530;296;5;0
536600;153900;165;53661539;125;5;0
565300;127400;98478;56531274;28;1;0
537700;154000;166;53771540;324;1;0
509300;162400;229563;50931624;4;0;0
537700;181000;167;53771810;12;0;0
565300;197500;98481;56531975;8;1;0
538000;165800;168;53801658;53;2;0
542700;152300;229565;54271523;20;1;0
537900;156300;169;53791563;26;0;0
565500;127000;98482;56551270;14;2;0
537900;159700;327879;53791597;17;0;0
537900;155700;170;53791557;105;1;0
538400;152100;171;53841521;92;7;0
560100;143500;196797;56011435;8;1;0
538400;153900;172;53841539;106;2;0
566400;122900;98485;56641229;3;1;0
538400;158200;173;53841582;3;1;0
541300;179300;196799;54131793;3;0;0
565900;125800;98486;56591258;36;1;0
565900;195500;98487;56591955;4;0;0
538300;154100;174;53831541;198;1;0
541600;169900;327884;54161699;11;0;0
538800;180200;175;53881802;244;1;0
523900;147400;229573;52391474;3;0;0
540100;189500;295115;54011895;7;1;0
538800;188700;176;53881887;5;1;0
539200;151600;177;53921516;96;1;0
522300;152400;164032;52231524;12;1;0
539000;165900;178;53901659;31;4;0
539300;165600;179;53931656;3;3;1
565900;124800;98492;56591248;3;0;0
539100;167600;180;53911676;17;0;0
539000;150700;181;53901507;16;0;0
549700;164300;229578;54971643;3;1;0
539700;170900;182;53971709;8;0;0
558100;145400;229580;55811454;7;0;0
540000;152000;183;54001520;58;3;0
540300;155700;184;54031557;4;2;1
544700;149500;327894;54471495;3;2;1
540600;152000;196811;54061520;29;3;0
540700;151700;185;54071517;104;2;0
566500;122200;98498;56651222;3;2;1
554400;155800;196812;55441558;4;0;0
540900;151700;186;54091517;23;0;0
540900;154800;187;54091548;62;0;0
534000;157400;262355;53401574;3;0;0
541100;150900;188;54111509;105;3;0
567500;132900;164043;56751329;10;1;0
540600;154600;189;54061546;71;0;0
510100;141800;229586;51011418;97;3;0
540900;165600;190;54091656;24;0;0
508900;142700;262358;50891427;24;0;0
567500;132400;98503;56751324;18;3;0
540600;151000;191;54061510;45;4;0
541700;152300;295130;54171523;68;3;0
541200;179000;192;54121790;21;2;0
540800;155000;193;54081550;25;1;0
541000;181000;194;54101810;4;2;1
541900;161700;195;54191617;10;0;0
529200;155100;295134;52921551;4;1;0
542800;187300;164050;54281873;32;0;0
567500;122600;98508;56751226;15;3;0
541500;150600;196;54151506;55;1;0
541800;150900;197;54181509;21;1;0
541800;156700;198;54181567;21;1;0
567700;120900;98511;56771209;3;0;0
541400;180000;199;54141800;5;0;0
553600;156200;196825;55361562;4;2;1
542500;172000;200;54251720;5;0;0
568300;200300;98514;56832003;15;2;0
543000;156700;201;54301567;16;2;0
542700;188800;202;54271888;4;0;0
568300;121900;98515;56831219;20;0;0
568200;196400;98516;56821964;43;1;0
542400;153500;203;54241535;16;1;0
561100;145900;196829;56111459;3;1;0
542700;162400;204;54271624;6;0;0
542800;155600;205;54281556;60;0;0
544100;188500;207;54411885;24;0;0
514800;147700;327917;51481477;4;1;0
544100;156700;208;54411567;3;0;0
511400;143700;164063;51141437;3;0;0
544100;187800;209;54411878;3;0;0
543800;150200;210;54381502;9;0;0
544200;171100;211;54421711;11;0;0
543500;176600;212;54351766;6;0;0
568700;199800;98526;56871998;18;1;0
543500;164200;213;54351642;3;0;0
542400;152700;262381;54241527;4;2;1
568400;200800;98527;56842008;10;0;0
543600;155700;214;54361557;4;0;0
517500;159000;164069;51751590;24;1;0
543600;149700;215;54361497;5;1;0
569100;122100;98528;56911221;3;0;0
546800;182900;216;54681829;29;1;0
546100;154000;217;54611540;10;0;0
547000;156200;218;54701562;16;0;0
537600;166000;327928;53761660;4;0;0
571600;133200;262386;57161332;3;0;0
565900;127300;164073;56591273;44;4;0
569500;191600;98533;56951916;31;0;0
546700;162500;220;54671625;13;1;0
547700;182500;327930;54771825;3;0;0
569500;198000;98534;56951980;5;1;0
548400;154400;222;54841544;7;0;0
504100;131600;196848;50411316;4;1;0
536300;167600;327934;53631676;6;0;0
540800;156800;196850;54081568;9;1;0
537000;183100;262394;53701831;29;2;0
522200;152000;164082;52221520;3;0;0
569600;128000;98540;56961280;7;1;0
549300;147500;228;54931475;36;2;0
570200;146200;196854;57021462;3;1;0
