X,Y,Numero,Nom,MoyenTrans,Altitude,NumeroComm,NomCommune,y_Coord_Es,x_Coord_No
508550,138904,8588677,"Prangins, Mus?e national",Bus,410,5725,Prangins,508550.000000000000000,138904.000000000000000
542206,152652,8593790,"Belmont-s.-L., Champ-Chamot",Bus,691,5581,Belmont-sur-Lausanne,542206.000000000000000,152652.000000000000000
521768,147667,8594454,"Etoy, Noyer-Girod",Bus,412,5636,Etoy,521768.000000000000000,147667.000000000000000
573161,137211,8573653,"La Comballaz, L'Ortier",Bus,1382,5410,Ormont-Dessous,573161.000000000000000,137211.000000000000000
572687,136568,8501758,"La Comballaz, poste",Bus,1354,5410,Ormont-Dessous,572687.000000000000000,136568.000000000000000
536574,187912,8580463,"Grandevent, village",Bus,679,5560,Grandevent,536574.000000000000000,187912.000000000000000
557921,151067,8579187,"Monts-de-Corsier, Mur-Blanc",Bus,806,5884,Corsier-sur-Vevey,557921.000000000000000,151067.000000000000000
527527,186749,8579071,"L'Auberson, Vers-le-Bois",Bus,1114,5568,Sainte-Croix,527527.000000000000000,186749.000000000000000
525029,185671,8587594,"L'Auberson, Vers-chz-ls-Jaques",Bus,1106,5568,Sainte-Croix,525029.000000000000000,185671.000000000000000
519931,171585,8570231,"Vaulion, Sur la Creusaz",Bus,928,5765,Vaulion,519931.000000000000000,171585.000000000000000
515694,167987,8570160,"L'Abbaye, Cr?t-Blanc",Bus,1075,5871,L'Abbaye,515694.000000000000000,167987.000000000000000
525975,163125,8570134,"La Chaux (Cossonay), village",Bus,554,5474,La Chaux (Cossonay),525975.000000000000000,163125.000000000000000
533361,185640,8570260,"La Mothe, haut-du-village",Bus,548,5937,Vugelles-La Mothe,533361.000000000000000,185640.000000000000000
570832,133198,8570636,"La Forclaz VD, Vougny-Paluex",Bus,1205,5410,Ormont-Dessous,570832.000000000000000,133198.000000000000000
520795,165573,8570157,"La Coudre (L'Isle),bas village",Bus,807,5486,L'Isle,520795.000000000000000,165573.000000000000000
577562,133769,8593774,La Faverge,CheminFer,1147,5411,Ormont-Dessus,577562.000000000000000,133769.000000000000000
555779,144949,8593952,"La Tour-de-Peilz, Bel-Air",Bus,402,5889,La Tour-de-Peilz,555779.000000000000000,144949.000000000000000
544496,171800,8580578,"Bercher, Vers l'Eglise",Bus,636,5512,Bercher,544496.000000000000000,171800.000000000000000
513929,149694,8501860,"Essertines-sur-Rolle, village",Bus,726,5856,Essertines-sur-Rolle,513929.000000000000000,149694.000000000000000
534727,182763,8570334,"Essert-sous-Champvent, village",Bus,482,5905,Champvent,534727.000000000000000,182763.000000000000000
570091,133090,8570633,"La Forclaz VD, La Trappaz",Bus,1047,5410,Ormont-Dessous,570091.000000000000000,133090.000000000000000
545087,181390,8507687,"La Mauguettaz, crois?e",Bus,454,5939,Yvonand,545087.000000000000000,181390.000000000000000
556060,144883,8593960,"La Tour-de-Peilz, G?r?naz",Bus,413,5889,La Tour-de-Peilz,556060.000000000000000,144883.000000000000000
571425,133350,8501766,"La Forclaz VD, village",Bus,1260,5410,Ormont-Dessous,571425.000000000000000,133350.000000000000000
531184,153119,8588872,"Denges, Les Oches",Bus,396,5632,Denges,531184.000000000000000,153119.000000000000000
521220,147590,8577590,"Etoy, En Bellevue",Bus,411,5636,Etoy,521220.000000000000000,147590.000000000000000
522031,148438,8583358,"Etoy, coll?ge Les Communaux",Bus,433,5636,Etoy,522031.000000000000000,148438.000000000000000
555266,144860,8593956,"La Tour-de-Peilz, centre",Bus,383,5889,La Tour-de-Peilz,555266.000000000000000,144860.000000000000000
541287,167375,8583231,"Sugnens, village",Bus,674,5540,Montilliez,541287.000000000000000,167375.000000000000000
580316,133177,8571278,"Les Diablerets, Les Preises",Bus,1385,5411,Ormont-Dessus,580316.000000000000000,133177.000000000000000
509096,164195,8530622,Le Rocheray NLJ,Bateau,1004,5872,Le Chenit,509096.000000000000000,164195.000000000000000
546628,176137,8507954,"Prahins, village",Bus,693,5913,Donneloye,546628.000000000000000,176137.000000000000000
518375,161425,8570112,"Montricher, Champet",Bus,735,5492,Montricher,518375.000000000000000,161425.000000000000000
546482,176340,8570316,"Prahins, Les Ivuez",Bus,682,5913,Donneloye,546482.000000000000000,176340.000000000000000
561134,191316,8504986,"Grandcour, poste",Bus,481,5817,Grandcour,561134.000000000000000,191316.000000000000000
577254,145635,8501372,Pra-Perron,Telepherique,1216,2163,Val-de-Charmey,577254.000000000000000,145635.000000000000000
570976,130646,8530045,Chamossaire VD,Telepherique,2101,5409,Ollon,570976.000000000000000,130646.000000000000000
572373,131005,8530052,Lac-Noir TLNCP,Telepherique,1712,5409,Ollon,572373.000000000000000,131005.000000000000000
558000,144780,8579204,"Chailly-Montreux, village",Bus,477,5886,Montreux,558000.000000000000000,144780.000000000000000
560474,138714,8501314,Villeneuve CGN,Bateau,373,5414,Villeneuve (VD),560474.000000000000000,138714.000000000000000
503009,131618,8595172,"Coppet, Les Marais",Bus,425,5712,Coppet,503009.000000000000000,131618.000000000000000
563191,133134,8501759,"Corbeyrier, poste",Bus,911,5404,Corbeyrier,563191.000000000000000,133134.000000000000000
545131,189565,8570280,"Concise, Bas-du-Pav?",Bus,468,5554,Concise,545131.000000000000000,189565.000000000000000
526450,155850,8570102,"Colombier VD, En Plan",Bus,510,5634,Echichens,526450.000000000000000,155850.000000000000000
529331,152250,8592279,"Pr?verenges, Taudaz",Bus,384,5643,Pr?verenges,529331.000000000000000,152250.000000000000000
550262,166935,8579243,"Bressonnaz, village",Bus,534,5678,Moudon,550262.000000000000000,166935.000000000000000
544661,168609,8507663,"Chapelle-sur-Moudon, La Combe",Bus,726,5693,Montanaire,544661.000000000000000,168609.000000000000000
533226,152490,8579234,"Ecublens VD, EPFL Piccard",Bus,395,5635,Ecublens (VD),533226.000000000000000,152490.000000000000000
547873,177599,8507672,"D?moret, coll?ge",Bus,732,5912,D?moret,547873.000000000000000,177599.000000000000000
544668,151089,8582778,"Grandvaux, Cr?t-Mouton",Bus,708,5613,Bourg-en-Lavaux,544668.000000000000000,151089.000000000000000
539157,184476,8570254,"Grandson, Cr?t-aux-Moines",Bus,457,5561,Grandson,539157.000000000000000,184476.000000000000000
567537,124395,8570642,Les D?vens,Bus,497,5402,Bex,567537.000000000000000,124395.000000000000000
556513,145253,8593958,"La Tour-de-Peilz, Doges",Bus,451,5889,La Tour-de-Peilz,556513.000000000000000,145253.000000000000000
560798,140449,8594006,"Veytaux, ch?teau de Chillon",Bus,383,5891,Veytaux,560798.000000000000000,140449.000000000000000
524893,148214,8589251,"St-Prex, place d'Armes",Bus,383,5646,Saint-Prex,524893.000000000000000,148214.000000000000000
557356,145744,8593909,"Blonay, Mon D?sir",Bus,526,5881,Blonay,557356.000000000000000,145744.000000000000000
551188,180224,8577614,"Treytorrens (Payerne), village",Bus,667,5828,Treytorrens (Payerne),551188.000000000000000,180224.000000000000000
533691,153816,8593868,"Chavannes-pr?s-Renens,Concorde",Bus,405,5627,Chavannes-pr?s-Renens,533691.000000000000000,153816.000000000000000
508158,161886,8579144,"Orient, centre",Bus,1016,5872,Le Chenit,508158.000000000000000,161886.000000000000000
544000,168275,8570221,"Peyres-Possens, caf?",Bus,703,5693,Montanaire,544000.000000000000000,168275.000000000000000
534936,184583,8507697,"Orges, village",Bus,564,5924,Orges,534936.000000000000000,184583.000000000000000
530242,175845,8581953,"Orbe, Suchet",Bus,498,5757,Orbe,530242.000000000000000,175845.000000000000000
537375,154479,8591996,"Lausanne, Bois-Gentil",Bus,606,5586,Lausanne,537375.000000000000000,154479.000000000000000
512225,151400,8579840,"Gimel, En P?ry-B?liaux",Bus,750,5428,Gimel,512225.000000000000000,151400.000000000000000
567135,132285,8595101,"Leysin, La Crois?e",Bus,1245,5407,Leysin,567135.000000000000000,132285.000000000000000
537025,167150,8570201,"Goumoens-la-Ville, Tuilerie",Bus,614,5541,Goumo?ns,537025.000000000000000,167150.000000000000000
533644,155602,8595516,"Crissier, Mongevon",Bus,437,5583,Crissier,533644.000000000000000,155602.000000000000000
558400,178760,8570373,"Granges-pr?s-Marnand, gare",Bus,469,5831,Valbroye,558400.000000000000000,178760.000000000000000
568222,196666,8579745,"Salavaux, Cotterd",Bus,484,5464,Vully-les-Lacs,568222.000000000000000,196666.000000000000000
509845,163460,8579143,"Les Bioux, AVJ",Bus,1023,5871,L'Abbaye,509845.000000000000000,163460.000000000000000
551477,157373,8570459,"Ch?tillens, coll?ge",Bus,638,5805,Oron,551477.000000000000000,157373.000000000000000
554525,145490,8593993,"Vevey, H?tel de Ville",Bus,376,5890,Vevey,554525.000000000000000,145490.000000000000000
555030,146385,8595118,"Vevey, Bi?ler",Bus,450,5890,Vevey,555030.000000000000000,146385.000000000000000
542157,150626,8592163,"Lutry, Taillepied",Bus,393,5606,Lutry,542157.000000000000000,150626.000000000000000
560818,179906,8570481,"Trey, village",Bus,576,5827,Trey,560818.000000000000000,179906.000000000000000
560556,141455,8593948,"Territet, L'Eaudine",Bus,399,5886,Montreux,560556.000000000000000,141455.000000000000000
573118,122752,8570649,"Les Plans-sur-Bex, Le Chamois",Bus,1070,5402,Bex,573118.000000000000000,122752.000000000000000
538409,156497,8593845,"Le Mont-s.-Laus., Coppoz-Poste",Bus,695,5587,Le Mont-sur-Lausanne,538409.000000000000000,156497.000000000000000
561168,137502,8595182,"Villeneuve VD, Pr? Neuf",Bus,373,5414,Villeneuve (VD),561168.000000000000000,137502.000000000000000
575075,145975,8501348,"Les Moulins, Pont-de-Pierre",Bus,891,5841,Ch?teau-d'Oex,575075.000000000000000,145975.000000000000000
533672,156420,8588845,"Crissier, Timonet",Bus,470,5583,Crissier,533672.000000000000000,156420.000000000000000
541551,187618,8582968,"Bonvillars, bas du village",Bus,467,5551,Bonvillars,541551.000000000000000,187618.000000000000000
552890,158006,8579800,"Oron-la-Ville, coll?ge",Bus,624,5805,Oron,552890.000000000000000,158006.000000000000000
538313,152052,8592072,"Lausanne, Mirabeau",Bus,465,5586,Lausanne,538313.000000000000000,152052.000000000000000
510390,140535,8588688,"Gland, Domaine Imp?rial",Bus,404,5721,Gland,510390.000000000000000,140535.000000000000000
509353,142043,8583431,"Gland, Les Tuilli?res",Bus,434,5721,Gland,509353.000000000000000,142043.000000000000000
538334,151239,8592084,"Lausanne, Mus?e Olympique",Bus,414,5586,Lausanne,538334.000000000000000,151239.000000000000000
531093,152813,8592242,"Denges, village",Bus,401,5632,Denges,531093.000000000000000,152813.000000000000000
567254,128907,8501777,"Panex, anc. poste",Bus,930,5409,Ollon,567254.000000000000000,128907.000000000000000
502950,140350,8570007,"Gingins, ouest",Bus,540,5719,Gingins,502950.000000000000000,140350.000000000000000
509874,142515,8583432,"Gland, Communet",Bus,430,5721,Gland,509874.000000000000000,142515.000000000000000
538223,154124,8592047,"Lausanne, For?t",Bus,594,5586,Lausanne,538223.000000000000000,154124.000000000000000
510515,141895,8581936,"Gland, Montoly",Bus,418,5721,Gland,510515.000000000000000,141895.000000000000000
